Parameters:,Emissivity:,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Distance:,1.0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23.396,23.384,23.358,23.358,23.396,23.409,23.384,23.384,23.409,23.396,23.358,23.332,23.319,23.319,23.319,23.306,23.281,23.294,23.306,23.306,23.281,23.281,23.306,23.332,23.332,23.332,23.319,23.306,23.306,23.306,23.319,23.319,23.294,23.268,23.229,23.229,23.255,23.281,23.319,23.294,23.229,23.229,23.294,23.281,23.216,23.204,23.255,23.281,23.281,23.255,23.229,23.191,23.152,23.178,23.255,23.306,23.306,23.268,23.229,23.216,23.255,23.281,23.294,23.281,23.268,23.281,23.319,23.371,23.396,23.371,23.294,23.294,23.358,23.396,23.371,23.358,23.358,23.345,23.306,23.319,23.371,23.319,23.178,23.075,23.036,23.049,23.088,23.101,23.062,23.036,23.036,23.075,23.139,23.165,23.152,23.216,23.319,23.345,23.268,23.204,23.152,23.165,23.204,23.216,23.191,23.165,23.152,23.178,23.229,23.242,23.216,23.216,23.242,23.242,23.229,23.216,23.229,23.229,23.216,23.216,23.229,23.191,23.139,23.113,23.139,23.165,23.178,23.152,23.101,23.075,23.088,23.101,23.101,23.139,23.204,23.204,23.165,23.139,23.126,23.165,23.216,23.229,23.178,23.126,23.088,23.062,23.036,23.023,23.023,23.075,23.165,23.191,23.139,23.101,23.088,23.088,23.113,23.101,23.062,23.075,23.126,23.165,23.178,23.191,23.216,23.204,23.152,23.126,23.139,23.165,23.178,23.178,23.152,23.165,23.204,23.216,23.191,23.204,23.255,23.268,23.268,23.242,23.229,23.242,23.281,23.281,23.268,23.281,23.332,23.319,23.255,23.204,23.178,23.204,23.229,23.242,23.229,23.216,23.229,23.242,23.255,23.281,23.294,23.281,23.242,23.229,23.255,23.281,23.306,23.306,23.281,23.268,23.242,23.204,23.139,23.113,23.139,23.178,23.229,23.216,23.126,23.113,23.178,23.229,23.229,23.216,23.204,23.165,23.101,23.062,23.075,23.113,23.178,23.216,23.216,23.216,23.204,23.204,23.204,23.191,23.152,23.126,23.113,23.113,23.113,23.101,23.101,23.101,23.126,23.191,23.255,23.229,23.113,23.101,23.191,23.216,23.191,23.191,23.255,23.281,23.268,23.255,23.255,23.242,23.216,23.204,23.216,23.229,23.229,23.229,23.242,23.255,23.281,23.268,23.229,23.191,23.178,23.165,23.165,23.178,23.178,23.152,23.088,23.049,23.062,23.075,23.101,23.088,23.049,23.01,22.972,22.946,22.92,22.933,22.894,22.442,21.648,21.031,20.729,20.597,20.583,20.57,20.517,20.504,20.517,20.531,20.544,20.531,20.491,20.478,20.465,20.478,20.478,20.504,20.544,20.663,20.86,21.018,21.097,21.137
,23.384,23.371,23.358,23.371,23.384,23.384,23.384,23.384,23.396,23.384,23.358,23.345,23.332,23.319,23.319,23.306,23.294,23.294,23.306,23.294,23.268,23.268,23.294,23.319,23.332,23.332,23.306,23.294,23.294,23.306,23.306,23.319,23.319,23.306,23.268,23.255,23.268,23.294,23.306,23.281,23.216,23.216,23.268,23.268,23.229,23.216,23.268,23.281,23.255,23.242,23.229,23.216,23.191,23.204,23.242,23.281,23.294,23.281,23.242,23.229,23.255,23.281,23.294,23.306,23.306,23.319,23.332,23.358,23.384,23.371,23.332,23.332,23.384,23.396,23.358,23.345,23.345,23.332,23.306,23.319,23.358,23.319,23.204,23.101,23.049,23.062,23.101,23.113,23.088,23.049,23.049,23.075,23.139,23.165,23.178,23.229,23.319,23.319,23.268,23.204,23.178,23.191,23.204,23.216,23.204,23.191,23.178,23.178,23.204,23.204,23.191,23.204,23.242,23.255,23.242,23.216,23.216,23.204,23.204,23.204,23.204,23.178,23.139,23.126,23.139,23.152,23.165,23.139,23.101,23.101,23.113,23.126,23.113,23.139,23.191,23.204,23.178,23.152,23.152,23.178,23.229,23.216,23.165,23.113,23.088,23.075,23.062,23.062,23.062,23.101,23.152,23.165,23.126,23.101,23.101,23.101,23.113,23.101,23.075,23.088,23.139,23.178,23.178,23.204,23.216,23.191,23.152,23.126,23.139,23.152,23.165,23.165,23.152,23.165,23.191,23.204,23.216,23.229,23.255,23.255,23.255,23.242,23.216,23.229,23.281,23.281,23.255,23.268,23.319,23.306,23.242,23.204,23.204,23.242,23.268,23.255,23.216,23.216,23.242,23.268,23.268,23.268,23.268,23.255,23.242,23.242,23.268,23.294,23.332,23.319,23.281,23.255,23.229,23.204,23.165,23.152,23.139,23.165,23.204,23.191,23.126,23.139,23.191,23.216,23.204,23.191,23.191,23.165,23.126,23.088,23.088,23.113,23.178,23.204,23.204,23.204,23.216,23.204,23.165,23.152,23.139,23.126,23.113,23.113,23.139,23.139,23.126,23.126,23.152,23.191,23.229,23.204,23.126,23.113,23.191,23.204,23.152,23.165,23.229,23.268,23.281,23.281,23.268,23.242,23.216,23.216,23.242,23.255,23.229,23.216,23.216,23.229,23.255,23.255,23.204,23.178,23.165,23.165,23.165,23.152,23.126,23.101,23.075,23.049,23.036,23.049,23.075,23.088,23.075,23.036,22.998,22.972,22.946,22.946,22.881,22.429,21.634,21.031,20.755,20.61,20.557,20.531,20.504,20.491,20.517,20.544,20.544,20.531,20.491,20.451,20.438,20.438,20.465,20.491,20.517,20.623,20.808,20.953,21.058,21.097
,23.358,23.358,23.384,23.384,23.371,23.358,23.371,23.384,23.371,23.371,23.358,23.358,23.345,23.332,23.319,23.306,23.306,23.306,23.294,23.268,23.242,23.229,23.268,23.306,23.345,23.332,23.306,23.281,23.281,23.294,23.306,23.332,23.358,23.358,23.345,23.319,23.306,23.294,23.281,23.242,23.204,23.204,23.229,23.255,23.255,23.255,23.268,23.268,23.229,23.229,23.242,23.255,23.255,23.242,23.229,23.242,23.268,23.281,23.268,23.255,23.255,23.268,23.294,23.345,23.384,23.396,23.371,23.358,23.384,23.396,23.396,23.396,23.409,23.396,23.358,23.332,23.332,23.319,23.294,23.319,23.358,23.332,23.229,23.152,23.101,23.088,23.126,23.126,23.113,23.075,23.062,23.075,23.126,23.178,23.229,23.268,23.294,23.294,23.242,23.229,23.229,23.229,23.216,23.216,23.242,23.242,23.216,23.178,23.152,23.139,23.152,23.191,23.255,23.281,23.255,23.229,23.191,23.178,23.191,23.191,23.191,23.165,23.139,23.139,23.152,23.139,23.139,23.126,23.113,23.139,23.191,23.178,23.139,23.139,23.178,23.204,23.191,23.191,23.191,23.204,23.229,23.204,23.139,23.101,23.088,23.088,23.126,23.139,23.139,23.139,23.152,23.139,23.101,23.088,23.113,23.126,23.126,23.113,23.101,23.113,23.165,23.191,23.204,23.204,23.204,23.178,23.152,23.126,23.126,23.139,23.152,23.152,23.139,23.139,23.152,23.204,23.255,23.268,23.242,23.229,23.242,23.229,23.204,23.216,23.268,23.268,23.229,23.229,23.281,23.281,23.204,23.204,23.255,23.306,23.319,23.281,23.204,23.204,23.268,23.306,23.294,23.255,23.216,23.216,23.242,23.268,23.294,23.332,23.358,23.332,23.294,23.229,23.191,23.191,23.216,23.204,23.165,23.139,23.139,23.139,23.139,23.165,23.216,23.216,23.165,23.152,23.178,23.178,23.178,23.152,23.113,23.126,23.178,23.191,23.191,23.204,23.229,23.191,23.113,23.088,23.126,23.139,23.113,23.139,23.178,23.204,23.191,23.178,23.191,23.191,23.191,23.165,23.152,23.152,23.178,23.152,23.113,23.113,23.165,23.229,23.281,23.306,23.294,23.255,23.216,23.229,23.281,23.294,23.242,23.191,23.165,23.178,23.216,23.216,23.178,23.152,23.152,23.165,23.178,23.126,23.036,23.023,23.062,23.062,23.01,22.998,23.036,23.075,23.088,23.075,23.036,23.01,22.998,22.972,22.868,22.39,21.608,21.045,20.781,20.623,20.517,20.465,20.451,20.478,20.517,20.544,20.544,20.517,20.465,20.412,20.385,20.398,20.438,20.465,20.465,20.544,20.702,20.847,20.966,21.031
,23.358,23.358,23.371,23.371,23.358,23.358,23.371,23.384,23.358,23.358,23.358,23.358,23.358,23.345,23.319,23.319,23.319,23.306,23.294,23.255,23.229,23.229,23.268,23.294,23.319,23.319,23.294,23.281,23.281,23.306,23.332,23.345,23.358,23.371,23.371,23.345,23.319,23.294,23.268,23.242,23.204,23.191,23.204,23.229,23.268,23.281,23.255,23.242,23.255,23.255,23.268,23.281,23.294,23.281,23.255,23.242,23.268,23.281,23.294,23.281,23.255,23.255,23.281,23.345,23.396,23.409,23.384,23.371,23.396,23.422,23.422,23.422,23.422,23.422,23.396,23.384,23.371,23.345,23.319,23.319,23.332,23.306,23.242,23.178,23.139,23.126,23.126,23.113,23.101,23.075,23.075,23.088,23.126,23.191,23.255,23.281,23.268,23.255,23.242,23.242,23.242,23.242,23.229,23.229,23.229,23.242,23.242,23.204,23.152,23.126,23.165,23.216,23.268,23.281,23.268,23.242,23.204,23.191,23.204,23.216,23.204,23.204,23.191,23.178,23.165,23.152,23.126,23.126,23.139,23.178,23.229,23.216,23.165,23.139,23.165,23.191,23.204,23.204,23.216,23.216,23.216,23.191,23.152,23.126,23.113,23.113,23.152,23.165,23.165,23.165,23.165,23.139,23.113,23.113,23.152,23.152,23.139,23.126,23.126,23.139,23.165,23.178,23.191,23.178,23.152,23.139,23.139,23.139,23.126,23.126,23.152,23.152,23.139,23.126,23.126,23.165,23.242,23.242,23.204,23.191,23.216,23.229,23.216,23.242,23.281,23.281,23.229,23.204,23.242,23.242,23.204,23.216,23.268,23.319,23.332,23.306,23.229,23.229,23.281,23.319,23.319,23.281,23.229,23.216,23.255,23.294,23.306,23.319,23.332,23.319,23.281,23.216,23.178,23.191,23.229,23.229,23.191,23.152,23.139,23.139,23.139,23.178,23.216,23.204,23.152,23.139,23.152,23.178,23.204,23.191,23.178,23.165,23.191,23.191,23.191,23.204,23.216,23.178,23.088,23.062,23.101,23.126,23.113,23.139,23.216,23.242,23.229,23.204,23.191,23.178,23.152,23.139,23.152,23.165,23.165,23.139,23.088,23.088,23.139,23.204,23.255,23.281,23.268,23.255,23.242,23.255,23.281,23.281,23.255,23.216,23.165,23.152,23.178,23.178,23.152,23.139,23.139,23.152,23.178,23.126,23.036,23.01,23.075,23.075,23.01,22.998,23.036,23.062,23.075,23.075,23.049,23.036,23.01,22.998,22.894,22.403,21.582,21.018,20.781,20.636,20.517,20.451,20.451,20.478,20.531,20.544,20.517,20.491,20.451,20.425,20.385,20.385,20.412,20.425,20.425,20.491,20.636,20.781,20.913,20.979
,23.371,23.371,23.345,23.345,23.358,23.371,23.384,23.371,23.358,23.345,23.345,23.358,23.358,23.358,23.345,23.332,23.306,23.294,23.281,23.255,23.242,23.255,23.281,23.294,23.294,23.294,23.306,23.306,23.319,23.332,23.371,23.358,23.332,23.319,23.345,23.332,23.294,23.268,23.281,23.268,23.229,23.204,23.204,23.229,23.281,23.281,23.229,23.242,23.306,23.332,23.281,23.255,23.281,23.294,23.306,23.294,23.281,23.281,23.294,23.281,23.255,23.242,23.268,23.306,23.358,23.371,23.384,23.396,23.422,23.435,23.422,23.409,23.409,23.435,23.473,23.473,23.435,23.396,23.345,23.319,23.306,23.268,23.216,23.178,23.178,23.165,23.113,23.075,23.049,23.049,23.088,23.113,23.139,23.191,23.255,23.268,23.255,23.242,23.242,23.242,23.229,23.216,23.229,23.216,23.191,23.204,23.242,23.242,23.191,23.191,23.242,23.281,23.281,23.281,23.268,23.242,23.229,23.242,23.268,23.268,23.268,23.255,23.255,23.242,23.204,23.165,23.139,23.139,23.165,23.204,23.229,23.216,23.165,23.152,23.165,23.178,23.191,23.204,23.204,23.204,23.204,23.204,23.191,23.178,23.152,23.152,23.152,23.139,23.139,23.139,23.165,23.165,23.152,23.152,23.191,23.191,23.152,23.139,23.139,23.139,23.139,23.139,23.152,23.126,23.075,23.075,23.113,23.139,23.126,23.139,23.165,23.165,23.152,23.126,23.113,23.126,23.165,23.178,23.139,23.139,23.191,23.229,23.255,23.281,23.306,23.294,23.242,23.216,23.204,23.204,23.216,23.229,23.255,23.294,23.306,23.306,23.281,23.268,23.268,23.306,23.358,23.345,23.281,23.255,23.294,23.306,23.281,23.281,23.281,23.281,23.255,23.229,23.204,23.191,23.204,23.216,23.216,23.204,23.191,23.165,23.152,23.165,23.204,23.204,23.165,23.152,23.139,23.165,23.191,23.229,23.242,23.242,23.216,23.204,23.229,23.229,23.204,23.152,23.113,23.088,23.101,23.101,23.088,23.139,23.229,23.268,23.229,23.191,23.165,23.139,23.139,23.139,23.139,23.152,23.152,23.126,23.088,23.101,23.152,23.191,23.178,23.191,23.216,23.255,23.281,23.268,23.229,23.229,23.268,23.268,23.216,23.178,23.152,23.139,23.139,23.139,23.139,23.152,23.165,23.152,23.101,23.088,23.113,23.101,23.062,23.036,23.062,23.049,23.036,23.023,23.01,23.01,22.985,22.998,22.933,22.429,21.569,20.966,20.755,20.636,20.544,20.491,20.478,20.504,20.544,20.531,20.465,20.438,20.465,20.465,20.451,20.425,20.398,20.398,20.425,20.504,20.61,20.755,20.913,20.979
,23.371,23.371,23.345,23.358,23.384,23.396,23.396,23.396,23.384,23.371,23.345,23.345,23.358,23.358,23.358,23.332,23.306,23.281,23.268,23.255,23.255,23.268,23.281,23.268,23.255,23.268,23.306,23.332,23.332,23.345,23.358,23.345,23.306,23.294,23.306,23.294,23.255,23.242,23.268,23.268,23.229,23.204,23.204,23.229,23.255,23.255,23.204,23.229,23.319,23.345,23.294,23.255,23.255,23.281,23.319,23.319,23.281,23.281,23.319,23.319,23.268,23.255,23.281,23.306,23.332,23.345,23.371,23.396,23.409,23.409,23.384,23.396,23.422,23.461,23.499,23.486,23.448,23.409,23.371,23.345,23.294,23.242,23.191,23.165,23.165,23.139,23.088,23.036,23.023,23.036,23.088,23.126,23.165,23.204,23.255,23.268,23.242,23.242,23.242,23.229,23.204,23.204,23.216,23.191,23.152,23.165,23.229,23.242,23.204,23.229,23.294,23.319,23.306,23.281,23.255,23.255,23.255,23.268,23.268,23.268,23.281,23.281,23.281,23.255,23.216,23.178,23.139,23.139,23.165,23.204,23.216,23.191,23.152,23.152,23.191,23.204,23.178,23.178,23.191,23.204,23.204,23.216,23.229,23.216,23.178,23.152,23.152,23.139,23.139,23.152,23.178,23.191,23.178,23.178,23.178,23.178,23.152,23.139,23.139,23.126,23.113,23.101,23.101,23.088,23.049,23.062,23.113,23.139,23.139,23.152,23.178,23.178,23.152,23.126,23.113,23.126,23.152,23.152,23.126,23.139,23.178,23.229,23.255,23.281,23.281,23.255,23.229,23.191,23.178,23.191,23.229,23.255,23.242,23.255,23.281,23.294,23.294,23.268,23.242,23.281,23.371,23.371,23.306,23.268,23.294,23.306,23.268,23.242,23.229,23.242,23.255,23.255,23.229,23.216,23.229,23.229,23.229,23.229,23.216,23.191,23.178,23.178,23.191,23.191,23.178,23.152,23.139,23.139,23.152,23.204,23.255,23.268,23.229,23.204,23.216,23.216,23.178,23.152,23.126,23.113,23.101,23.101,23.101,23.152,23.229,23.242,23.216,23.178,23.165,23.152,23.152,23.152,23.152,23.165,23.165,23.139,23.088,23.101,23.178,23.191,23.139,23.152,23.216,23.268,23.294,23.268,23.204,23.204,23.255,23.268,23.229,23.178,23.139,23.126,23.152,23.165,23.165,23.152,23.152,23.152,23.152,23.152,23.126,23.101,23.075,23.049,23.036,23.023,23.01,22.985,22.985,22.985,22.985,22.972,22.868,22.377,21.569,20.992,20.755,20.649,20.583,20.544,20.517,20.517,20.531,20.504,20.438,20.398,20.425,20.451,20.465,20.451,20.412,20.412,20.451,20.517,20.61,20.768,20.926,21.018
,23.345,23.358,23.371,23.396,23.422,23.435,23.422,23.422,23.422,23.396,23.332,23.319,23.345,23.358,23.345,23.332,23.294,23.268,23.255,23.255,23.268,23.268,23.255,23.242,23.229,23.242,23.294,23.332,23.332,23.319,23.306,23.294,23.294,23.281,23.268,23.242,23.216,23.216,23.242,23.242,23.229,23.216,23.216,23.229,23.229,23.216,23.204,23.216,23.268,23.294,23.294,23.268,23.229,23.242,23.294,23.306,23.255,23.281,23.358,23.358,23.281,23.268,23.319,23.358,23.345,23.345,23.371,23.371,23.371,23.358,23.345,23.384,23.422,23.448,23.448,23.422,23.396,23.396,23.384,23.358,23.294,23.242,23.191,23.139,23.101,23.062,23.036,23.036,23.036,23.049,23.088,23.126,23.191,23.229,23.255,23.268,23.268,23.255,23.229,23.216,23.204,23.204,23.204,23.178,23.139,23.139,23.178,23.204,23.191,23.229,23.306,23.332,23.306,23.281,23.255,23.255,23.255,23.242,23.216,23.229,23.255,23.268,23.255,23.242,23.229,23.191,23.139,23.126,23.152,23.178,23.178,23.152,23.126,23.152,23.229,23.229,23.178,23.152,23.191,23.216,23.216,23.229,23.229,23.216,23.165,23.139,23.152,23.152,23.165,23.178,23.204,23.216,23.204,23.178,23.139,23.126,23.139,23.152,23.126,23.101,23.088,23.075,23.062,23.062,23.088,23.113,23.139,23.152,23.165,23.178,23.191,23.178,23.139,23.126,23.139,23.165,23.178,23.178,23.165,23.165,23.191,23.216,23.242,23.229,23.204,23.178,23.152,23.152,23.178,23.216,23.255,23.255,23.229,23.216,23.255,23.268,23.242,23.229,23.216,23.268,23.358,23.358,23.281,23.255,23.281,23.281,23.268,23.229,23.204,23.216,23.281,23.294,23.255,23.255,23.281,23.281,23.229,23.204,23.204,23.204,23.204,23.204,23.204,23.191,23.165,23.152,23.126,23.113,23.101,23.139,23.216,23.255,23.229,23.204,23.191,23.178,23.165,23.152,23.113,23.101,23.113,23.126,23.139,23.165,23.204,23.204,23.178,23.178,23.204,23.204,23.204,23.204,23.191,23.191,23.191,23.152,23.088,23.101,23.191,23.204,23.139,23.165,23.255,23.294,23.255,23.229,23.216,23.216,23.229,23.216,23.191,23.152,23.126,23.126,23.165,23.191,23.191,23.165,23.113,23.126,23.178,23.178,23.126,23.075,23.049,23.01,22.985,22.985,22.998,22.985,22.959,22.972,22.998,22.933,22.713,22.247,21.569,21.058,20.781,20.649,20.623,20.597,20.557,20.517,20.504,20.465,20.425,20.385,20.345,20.359,20.425,20.451,20.465,20.465,20.478,20.531,20.623,20.781,20.966,21.058
,23.332,23.345,23.358,23.396,23.448,23.448,23.422,23.409,23.422,23.384,23.332,23.306,23.332,23.332,23.319,23.306,23.281,23.268,23.242,23.242,23.268,23.268,23.242,23.229,23.216,23.242,23.294,23.319,23.332,23.319,23.281,23.268,23.281,23.268,23.229,23.216,23.216,23.229,23.255,23.255,23.242,23.229,23.229,23.229,23.216,23.204,23.191,23.204,23.229,23.242,23.242,23.229,23.216,23.229,23.281,23.294,23.255,23.294,23.384,23.384,23.306,23.281,23.332,23.371,23.358,23.358,23.358,23.345,23.319,23.319,23.332,23.358,23.409,23.422,23.409,23.384,23.371,23.371,23.371,23.358,23.306,23.242,23.191,23.113,23.062,23.023,23.023,23.023,23.036,23.062,23.088,23.139,23.204,23.242,23.242,23.242,23.255,23.229,23.191,23.178,23.204,23.216,23.204,23.191,23.165,23.152,23.152,23.165,23.178,23.216,23.268,23.306,23.294,23.281,23.268,23.268,23.255,23.242,23.229,23.229,23.255,23.255,23.229,23.216,23.216,23.191,23.152,23.139,23.152,23.152,23.139,23.139,23.152,23.204,23.268,23.255,23.191,23.165,23.216,23.242,23.255,23.255,23.242,23.204,23.152,23.126,23.126,23.152,23.178,23.204,23.216,23.229,23.216,23.178,23.139,23.113,23.126,23.126,23.113,23.101,23.101,23.101,23.075,23.088,23.126,23.152,23.165,23.178,23.191,23.204,23.191,23.178,23.152,23.139,23.139,23.165,23.191,23.204,23.191,23.204,23.216,23.216,23.216,23.191,23.178,23.139,23.113,23.139,23.191,23.255,23.281,23.281,23.242,23.229,23.242,23.242,23.216,23.204,23.204,23.242,23.319,23.319,23.281,23.255,23.268,23.281,23.268,23.242,23.204,23.216,23.268,23.281,23.255,23.268,23.306,23.294,23.229,23.204,23.216,23.229,23.216,23.204,23.178,23.165,23.152,23.152,23.139,23.126,23.088,23.113,23.191,23.229,23.229,23.216,23.191,23.178,23.165,23.139,23.113,23.113,23.152,23.178,23.178,23.178,23.178,23.178,23.178,23.191,23.216,23.229,23.216,23.204,23.191,23.191,23.178,23.152,23.126,23.139,23.191,23.204,23.178,23.191,23.255,23.268,23.229,23.216,23.242,23.242,23.216,23.204,23.191,23.178,23.152,23.152,23.165,23.191,23.204,23.152,23.075,23.075,23.139,23.152,23.101,23.062,23.036,23.01,22.985,22.985,22.998,22.985,22.946,22.946,22.972,22.894,22.649,22.169,21.504,21.005,20.755,20.649,20.636,20.623,20.583,20.531,20.491,20.451,20.438,20.398,20.345,20.345,20.398,20.465,20.491,20.504,20.517,20.557,20.636,20.781,20.966,21.058
,23.345,23.332,23.319,23.358,23.448,23.461,23.409,23.371,23.358,23.345,23.319,23.294,23.294,23.294,23.268,23.268,23.268,23.255,23.242,23.242,23.255,23.255,23.242,23.242,23.242,23.255,23.281,23.319,23.358,23.345,23.306,23.281,23.281,23.255,23.216,23.216,23.268,23.294,23.294,23.294,23.281,23.255,23.242,23.242,23.255,23.242,23.191,23.178,23.204,23.191,23.152,23.165,23.216,23.268,23.281,23.281,23.281,23.306,23.371,23.371,23.319,23.306,23.319,23.345,23.358,23.358,23.345,23.319,23.294,23.294,23.332,23.345,23.358,23.371,23.396,23.396,23.371,23.345,23.345,23.345,23.306,23.255,23.178,23.101,23.062,23.036,23.023,23.023,23.036,23.075,23.126,23.165,23.204,23.216,23.216,23.216,23.216,23.191,23.152,23.152,23.204,23.229,23.229,23.216,23.216,23.191,23.152,23.152,23.178,23.204,23.204,23.229,23.268,23.294,23.294,23.281,23.255,23.255,23.294,23.294,23.268,23.242,23.216,23.204,23.204,23.204,23.178,23.165,23.165,23.152,23.126,23.165,23.242,23.281,23.281,23.255,23.216,23.216,23.255,23.294,23.294,23.281,23.255,23.204,23.152,23.113,23.101,23.113,23.165,23.204,23.216,23.216,23.204,23.191,23.178,23.152,23.126,23.101,23.101,23.126,23.152,23.152,23.126,23.126,23.165,23.191,23.191,23.204,23.216,23.216,23.191,23.178,23.165,23.139,23.126,23.139,23.178,23.204,23.216,23.216,23.242,23.229,23.204,23.191,23.204,23.178,23.126,23.139,23.216,23.281,23.306,23.306,23.281,23.268,23.268,23.242,23.216,23.204,23.216,23.229,23.255,23.268,23.281,23.281,23.281,23.268,23.268,23.255,23.242,23.229,23.216,23.216,23.229,23.255,23.294,23.281,23.204,23.204,23.255,23.268,23.229,23.178,23.139,23.126,23.139,23.152,23.165,23.165,23.152,23.165,23.191,23.216,23.216,23.229,23.242,23.229,23.165,23.126,23.113,23.139,23.204,23.216,23.191,23.165,23.152,23.165,23.191,23.204,23.216,23.204,23.191,23.178,23.165,23.152,23.139,23.152,23.191,23.204,23.178,23.191,23.229,23.229,23.204,23.191,23.216,23.242,23.255,23.255,23.229,23.216,23.242,23.229,23.191,23.165,23.165,23.178,23.178,23.126,23.036,23.023,23.075,23.101,23.088,23.075,23.062,23.049,23.023,23.01,23.01,22.985,22.933,22.92,22.92,22.868,22.688,22.169,21.386,20.86,20.702,20.663,20.649,20.623,20.583,20.544,20.504,20.478,20.478,20.451,20.412,20.398,20.425,20.465,20.504,20.531,20.544,20.57,20.649,20.768,20.926,21.018
