Parameters:,Emissivity:,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Distance:,1.0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22.091,22.065,22.039,22.026,22.052,22.039,22.026,22.026,22.052,22.052,22,21.987,22,22.078,22.182,22.208,22.143,22.052,21.987,21.961,21.987,22.013,22.013,22,21.987,22,22.026,22.039,22.026,22.013,22,22,22.026,22.026,22.026,22,21.961,21.974,22.013,22,21.948,21.961,22.026,22.078,22.078,22.039,21.961,21.948,22,22.039,22.013,21.987,21.948,21.922,21.922,21.961,22.013,22.039,22,21.987,22.013,22.013,22,22,21.987,21.935,21.882,21.882,21.961,21.987,21.961,21.961,22.013,22.078,22.143,22.143,22.078,22,21.948,21.948,21.987,22,21.987,21.987,21.987,22,22.039,22.065,22.091,22.104,22.104,22.065,22,21.935,21.896,21.896,21.922,21.987,22.039,22.039,21.974,21.935,21.922,21.961,22.013,22.039,22.013,21.974,21.948,21.909,21.869,21.856,21.856,21.856,21.843,21.856,21.896,21.948,22,22.039,22.065,22.052,22.026,22.013,22.052,22.104,22.169,22.195,22.169,22.195,22.247,22.273,22.273,22.247,22.208,22.169,22.143,22.143,22.169,22.182,22.182,22.195,22.221,22.221,22.208,22.182,22.156,22.169,22.182,22.182,22.156,22.13,22.117,22.117,22.13,22.078,21.974,21.896,21.856,21.869,21.909,21.974,22.013,22.039,22.052,22.104,22.169,22.182,22.117,22.117,22.169,22.182,22.143,22.117,22.117,22.143,22.182,22.195,22.182,22.13,22.078,22.078,22.143,22.195,22.195,22.156,22.078,22,21.948,21.961,22.039,22.078,22.091,22.104,22.13,22.169,22.195,22.208,22.195,22.234,22.312,22.338,22.299,22.26,22.247,22.26,22.312,22.351,22.377,22.364,22.351,22.351,22.403,22.429,22.442,22.403,22.338,22.338,22.377,22.39,22.364,22.39,22.454,22.429,22.325,22.26,22.26,22.26,22.26,22.286,22.312,22.312,22.273,22.286,22.325,22.312,22.26,22.234,22.26,22.26,22.234,22.234,22.273,22.286,22.286,22.247,22.195,22.208,22.26,22.247,22.182,22.156,22.156,22.143,22.091,22.052,22.052,22.078,22.117,22.169,22.208,22.208,22.156,22.182,22.247,22.247,22.169,22.13,22.143,22.143,22.117,22.104,22.104,22.13,22.143,22.169,22.182,22.195,22.195,22.221,22.26,22.247,22.195,22.195,22.234,22.26,22.26,22.273,22.286,22.273,22.26,22.26,22.299,22.312,22.286,22.273,22.273,22.234,22.195,22.169,22.169,22.143,22.091,22.091,22.143,22.182,22.195,22.156,22.091,22.078,22.091,22.117,22.143,22.169,22.195,22.234,22.26,22.247,22.221,22.208
,22.065,22.052,22.052,22.039,22.039,22.026,22.013,22.013,22.039,22.039,22.013,22,22.026,22.078,22.143,22.143,22.104,22.039,21.974,21.974,22.013,22.039,22.039,22.026,21.987,21.987,22.026,22.039,22.039,22.039,22.026,22.013,22.013,22.013,22.013,22,21.948,21.948,21.987,21.987,21.961,21.974,22.039,22.078,22.065,22.013,21.961,21.961,21.987,22,22,21.974,21.948,21.909,21.896,21.922,22,22.013,21.987,21.987,22,22,22.013,22,21.987,21.961,21.922,21.909,21.948,21.961,21.961,21.961,22,22.052,22.117,22.13,22.078,22.013,21.974,21.961,21.987,22,22,21.987,21.987,21.987,22.026,22.052,22.078,22.091,22.104,22.065,22,21.948,21.922,21.922,21.935,21.961,22.013,22.013,21.974,21.935,21.896,21.922,21.987,22.013,21.974,21.948,21.935,21.922,21.882,21.882,21.896,21.882,21.856,21.869,21.922,21.961,21.974,22,22.039,22.052,22.026,22.026,22.065,22.104,22.156,22.182,22.169,22.195,22.247,22.273,22.26,22.247,22.208,22.182,22.143,22.143,22.169,22.182,22.169,22.182,22.208,22.208,22.195,22.182,22.169,22.169,22.195,22.195,22.182,22.169,22.156,22.143,22.117,22.078,22,21.935,21.882,21.896,21.935,21.974,22.013,22.026,22.052,22.091,22.156,22.169,22.143,22.13,22.156,22.156,22.143,22.13,22.117,22.13,22.156,22.169,22.156,22.13,22.091,22.091,22.117,22.143,22.156,22.13,22.078,22.013,21.974,21.987,22.026,22.052,22.052,22.078,22.117,22.156,22.182,22.182,22.182,22.221,22.299,22.325,22.299,22.26,22.247,22.273,22.312,22.351,22.364,22.351,22.325,22.338,22.39,22.416,22.403,22.39,22.351,22.351,22.364,22.364,22.364,22.39,22.442,22.416,22.312,22.26,22.286,22.299,22.286,22.299,22.325,22.325,22.312,22.312,22.325,22.312,22.273,22.247,22.26,22.247,22.221,22.234,22.26,22.286,22.273,22.247,22.195,22.208,22.247,22.247,22.195,22.156,22.143,22.117,22.091,22.078,22.078,22.091,22.117,22.156,22.195,22.182,22.13,22.143,22.208,22.221,22.195,22.169,22.169,22.169,22.156,22.143,22.13,22.13,22.156,22.169,22.195,22.208,22.221,22.221,22.221,22.208,22.182,22.195,22.247,22.273,22.26,22.26,22.273,22.273,22.247,22.247,22.273,22.286,22.286,22.273,22.26,22.234,22.169,22.156,22.169,22.156,22.104,22.091,22.117,22.156,22.169,22.13,22.065,22.039,22.065,22.104,22.117,22.143,22.182,22.208,22.234,22.247,22.221,22.208
,22.026,22.039,22.078,22.078,22.026,22,21.987,22,22.013,22.026,22.026,22.039,22.065,22.078,22.065,22.052,22.026,22,21.961,21.974,22.039,22.078,22.078,22.052,22,21.987,22,22.039,22.052,22.065,22.065,22.039,22,21.987,22.013,21.987,21.935,21.922,21.948,21.961,21.961,22,22.052,22.065,22.026,21.987,21.974,21.961,21.948,21.948,21.948,21.948,21.922,21.882,21.856,21.882,21.948,21.987,21.974,21.961,21.974,21.987,22.013,22.026,22.013,22,21.987,21.974,21.948,21.948,21.961,21.961,21.961,22,22.091,22.117,22.091,22.052,22,21.987,21.987,22,22.013,22,21.974,21.974,22,22.039,22.065,22.091,22.091,22.065,22.013,21.987,21.974,21.961,21.948,21.935,21.961,21.974,21.974,21.935,21.856,21.856,21.935,21.948,21.922,21.909,21.922,21.922,21.922,21.935,21.961,21.948,21.896,21.896,21.974,21.974,21.922,21.935,22,22.039,22.039,22.052,22.078,22.104,22.143,22.156,22.156,22.195,22.26,22.286,22.26,22.234,22.208,22.182,22.156,22.156,22.169,22.169,22.143,22.156,22.182,22.195,22.182,22.169,22.182,22.195,22.208,22.221,22.221,22.221,22.208,22.169,22.117,22.065,22.026,21.987,21.935,21.948,21.974,22,22,22.013,22.039,22.078,22.117,22.156,22.169,22.169,22.143,22.13,22.143,22.13,22.104,22.104,22.104,22.104,22.104,22.117,22.13,22.117,22.078,22.078,22.091,22.091,22.065,22.039,22.026,22.013,22.013,22,22,22.026,22.091,22.13,22.143,22.156,22.169,22.208,22.286,22.312,22.299,22.286,22.273,22.273,22.312,22.325,22.338,22.325,22.299,22.312,22.364,22.377,22.338,22.338,22.377,22.377,22.338,22.325,22.351,22.39,22.429,22.403,22.299,22.273,22.312,22.338,22.338,22.338,22.338,22.338,22.364,22.364,22.338,22.312,22.299,22.273,22.234,22.208,22.195,22.221,22.26,22.273,22.26,22.234,22.208,22.208,22.208,22.221,22.221,22.182,22.104,22.078,22.104,22.117,22.117,22.117,22.117,22.13,22.156,22.143,22.091,22.091,22.156,22.208,22.221,22.221,22.195,22.195,22.221,22.208,22.156,22.143,22.156,22.195,22.208,22.234,22.247,22.221,22.169,22.143,22.169,22.221,22.273,22.286,22.247,22.234,22.26,22.26,22.247,22.234,22.234,22.247,22.273,22.286,22.26,22.208,22.143,22.13,22.156,22.156,22.104,22.078,22.078,22.104,22.117,22.091,22,21.974,22.013,22.052,22.078,22.104,22.143,22.182,22.208,22.221,22.221,22.221
,22.013,22.039,22.078,22.078,22.039,22,22,21.987,21.987,22.013,22.039,22.052,22.065,22.065,22.026,22.013,22.013,22,21.974,22,22.065,22.091,22.091,22.052,21.987,21.961,21.974,22,22.026,22.052,22.065,22.052,22.026,22,22,21.987,21.961,21.948,21.948,21.961,21.987,22.039,22.078,22.065,22,21.961,21.974,21.974,21.922,21.909,21.909,21.909,21.896,21.869,21.83,21.869,21.948,21.987,21.974,21.961,21.974,22,22.026,22.039,22.052,22.065,22.078,22.052,21.987,21.961,21.974,21.974,21.948,21.974,22.065,22.117,22.104,22.065,22,21.974,22,22,22,21.974,21.961,21.974,22.026,22.039,22.039,22.052,22.052,22.039,22.013,21.987,21.974,21.961,21.948,21.935,21.935,21.935,21.935,21.896,21.856,21.856,21.896,21.922,21.922,21.909,21.909,21.922,21.922,21.948,21.987,21.961,21.909,21.909,21.961,21.961,21.909,21.909,21.974,22.013,22.039,22.065,22.078,22.104,22.143,22.169,22.169,22.208,22.26,22.273,22.247,22.221,22.221,22.208,22.182,22.169,22.156,22.13,22.13,22.143,22.169,22.182,22.169,22.156,22.156,22.169,22.195,22.221,22.234,22.234,22.234,22.195,22.117,22.065,22.026,21.987,21.948,21.948,21.987,22,21.974,21.987,22.039,22.078,22.104,22.143,22.182,22.182,22.143,22.117,22.117,22.104,22.091,22.091,22.117,22.104,22.078,22.091,22.13,22.117,22.078,22.052,22.065,22.065,22.052,22.052,22.052,22.026,22,21.974,21.961,22,22.065,22.117,22.13,22.143,22.182,22.221,22.273,22.299,22.312,22.299,22.286,22.273,22.286,22.299,22.312,22.312,22.299,22.312,22.364,22.364,22.312,22.312,22.364,22.364,22.325,22.312,22.338,22.377,22.416,22.403,22.351,22.325,22.364,22.377,22.364,22.351,22.325,22.351,22.39,22.39,22.338,22.312,22.312,22.273,22.221,22.195,22.195,22.221,22.26,22.273,22.26,22.234,22.221,22.208,22.182,22.195,22.208,22.169,22.078,22.052,22.091,22.117,22.13,22.117,22.104,22.117,22.143,22.13,22.104,22.104,22.156,22.208,22.247,22.234,22.208,22.208,22.26,22.247,22.182,22.156,22.169,22.195,22.221,22.26,22.273,22.247,22.182,22.156,22.195,22.247,22.286,22.273,22.221,22.208,22.247,22.273,22.273,22.26,22.234,22.234,22.26,22.26,22.234,22.195,22.143,22.13,22.143,22.13,22.091,22.065,22.052,22.065,22.104,22.078,22,21.974,22,22.026,22.052,22.078,22.117,22.143,22.169,22.195,22.208,22.208
,22.039,22.039,22.052,22.052,22.065,22.052,22.026,21.987,21.974,21.987,22.039,22.052,22.026,22.026,22.052,22.052,22.052,22.026,21.987,22.013,22.078,22.091,22.039,22,21.974,21.961,21.948,21.961,21.974,22,22.026,22.052,22.078,22.039,21.974,21.974,22.026,22.026,21.974,21.961,22.013,22.065,22.117,22.078,21.987,21.948,21.961,21.961,21.922,21.896,21.869,21.869,21.869,21.856,21.843,21.882,21.974,22,21.987,21.974,22,22.026,22.039,22.052,22.078,22.117,22.143,22.117,22.052,22.026,22.013,21.987,21.948,21.974,22.052,22.117,22.117,22.052,21.948,21.935,21.987,22,21.948,21.935,21.961,22.013,22.078,22.078,22.026,22,22,22,21.974,21.961,21.935,21.935,21.948,21.948,21.935,21.909,21.856,21.856,21.882,21.896,21.909,21.935,21.974,21.961,21.909,21.896,21.909,21.935,21.948,21.935,21.909,21.896,21.896,21.909,21.935,21.961,21.987,22.013,22.039,22.065,22.078,22.117,22.182,22.208,22.208,22.221,22.26,22.273,22.247,22.234,22.221,22.221,22.208,22.182,22.117,22.091,22.117,22.143,22.156,22.169,22.169,22.143,22.117,22.117,22.156,22.195,22.195,22.208,22.195,22.182,22.13,22.078,22.013,21.948,21.922,21.922,21.961,21.974,21.948,21.974,22.065,22.117,22.117,22.13,22.156,22.169,22.156,22.13,22.078,22.052,22.052,22.104,22.169,22.169,22.091,22.065,22.104,22.117,22.104,22.091,22.078,22.065,22.039,22.039,22.039,22.026,21.987,21.974,21.974,22.013,22.065,22.104,22.13,22.169,22.221,22.26,22.273,22.286,22.312,22.312,22.286,22.273,22.273,22.286,22.299,22.312,22.325,22.351,22.377,22.364,22.312,22.299,22.325,22.338,22.325,22.325,22.325,22.351,22.39,22.416,22.429,22.416,22.39,22.377,22.364,22.338,22.312,22.338,22.377,22.39,22.338,22.312,22.299,22.273,22.221,22.208,22.221,22.247,22.273,22.286,22.273,22.26,22.247,22.208,22.169,22.156,22.169,22.143,22.078,22.052,22.078,22.091,22.104,22.104,22.117,22.13,22.169,22.182,22.169,22.169,22.208,22.234,22.247,22.234,22.195,22.208,22.26,22.26,22.208,22.169,22.169,22.195,22.234,22.26,22.286,22.273,22.26,22.247,22.26,22.273,22.286,22.26,22.208,22.195,22.247,22.286,22.312,22.299,22.26,22.234,22.234,22.221,22.208,22.195,22.195,22.169,22.117,22.078,22.078,22.065,22.052,22.065,22.104,22.091,22.052,22.013,22.013,22.026,22.052,22.078,22.091,22.117,22.156,22.169,22.169,22.169
,22.052,22.039,22.013,22.026,22.065,22.078,22.039,22,21.974,21.974,22.013,22.026,22.013,22.026,22.065,22.091,22.091,22.052,22,22,22.039,22.039,22,21.974,21.987,22,21.987,21.974,21.961,21.961,21.987,22.026,22.091,22.065,21.987,21.961,22.026,22.026,21.987,21.974,22.026,22.078,22.091,22.052,21.961,21.935,21.974,21.987,21.948,21.909,21.882,21.856,21.869,21.869,21.869,21.922,21.987,22.026,22.026,22.013,22.013,22.013,22,22.026,22.078,22.117,22.143,22.13,22.078,22.039,22.026,22.013,21.987,22,22.039,22.078,22.078,22.026,21.935,21.922,21.974,21.974,21.922,21.909,21.961,22.026,22.078,22.078,22.039,22,21.987,21.974,21.974,21.974,21.961,21.961,21.974,21.974,21.948,21.909,21.843,21.843,21.896,21.935,21.922,21.948,21.974,21.961,21.909,21.869,21.882,21.909,21.935,21.935,21.909,21.882,21.869,21.909,21.961,22,22.026,22.026,22.026,22.052,22.104,22.156,22.195,22.221,22.234,22.234,22.26,22.273,22.273,22.26,22.234,22.234,22.234,22.195,22.117,22.091,22.117,22.143,22.156,22.169,22.182,22.169,22.13,22.13,22.169,22.182,22.195,22.182,22.156,22.143,22.117,22.078,22,21.948,21.909,21.922,21.961,21.974,21.961,21.987,22.065,22.104,22.104,22.117,22.13,22.156,22.169,22.13,22.065,22.026,22.052,22.117,22.182,22.182,22.104,22.065,22.104,22.13,22.13,22.117,22.104,22.065,22.039,22.026,22.026,22.013,21.974,21.961,21.987,22.026,22.052,22.078,22.117,22.169,22.247,22.286,22.299,22.312,22.338,22.325,22.286,22.273,22.286,22.299,22.299,22.325,22.364,22.39,22.39,22.364,22.325,22.299,22.312,22.338,22.351,22.351,22.338,22.351,22.377,22.416,22.454,22.442,22.39,22.351,22.351,22.351,22.338,22.338,22.364,22.377,22.351,22.325,22.299,22.273,22.26,22.247,22.234,22.247,22.273,22.273,22.26,22.247,22.247,22.221,22.182,22.156,22.13,22.117,22.117,22.104,22.104,22.104,22.117,22.117,22.104,22.117,22.182,22.208,22.208,22.208,22.221,22.221,22.208,22.195,22.195,22.208,22.247,22.247,22.234,22.195,22.169,22.182,22.221,22.247,22.26,22.286,22.299,22.299,22.286,22.286,22.299,22.273,22.221,22.208,22.26,22.299,22.299,22.273,22.247,22.234,22.247,22.247,22.221,22.221,22.234,22.182,22.104,22.052,22.065,22.078,22.065,22.078,22.104,22.104,22.078,22.052,22.026,22.026,22.039,22.078,22.104,22.13,22.143,22.156,22.156,22.156
,22.026,22.013,22,22.013,22.065,22.065,22.039,22,21.974,21.974,21.974,22,22.026,22.052,22.091,22.104,22.104,22.078,22.013,21.974,21.961,21.961,21.961,21.987,22.026,22.065,22.078,22.065,22.013,21.974,21.974,22,22.052,22.065,22,21.961,21.948,21.948,21.961,22,22.039,22.052,22.039,21.987,21.922,21.935,22,22.026,22,21.948,21.922,21.896,21.869,21.882,21.909,21.948,21.987,22.039,22.078,22.065,22.013,21.974,21.948,21.974,22.052,22.091,22.091,22.065,22.026,22,22.013,22.026,22.039,22.039,22.026,22.026,22.013,22,21.961,21.961,21.961,21.948,21.909,21.922,22,22.039,22.026,22.039,22.065,22.039,21.987,21.974,22,22.026,22.039,22.039,22.026,21.987,21.961,21.922,21.896,21.882,21.909,21.922,21.935,21.935,21.922,21.909,21.882,21.869,21.869,21.896,21.935,21.948,21.922,21.896,21.909,21.948,22,22.052,22.078,22.065,22.026,22.052,22.143,22.208,22.208,22.221,22.247,22.247,22.247,22.273,22.312,22.312,22.273,22.247,22.247,22.208,22.156,22.13,22.143,22.143,22.156,22.169,22.195,22.195,22.195,22.208,22.208,22.208,22.208,22.182,22.13,22.091,22.065,22.052,22.013,21.974,21.948,21.948,21.974,22,22.026,22.026,22.039,22.052,22.065,22.078,22.104,22.13,22.156,22.13,22.065,22.052,22.078,22.117,22.156,22.156,22.104,22.091,22.13,22.143,22.143,22.13,22.104,22.078,22.052,22.026,22.013,21.974,21.935,21.935,22,22.026,22.013,22.026,22.078,22.143,22.221,22.299,22.338,22.364,22.364,22.325,22.273,22.286,22.338,22.338,22.286,22.312,22.416,22.442,22.403,22.351,22.325,22.325,22.351,22.377,22.403,22.39,22.377,22.364,22.377,22.403,22.416,22.39,22.351,22.338,22.364,22.377,22.39,22.377,22.351,22.351,22.364,22.351,22.299,22.286,22.312,22.286,22.234,22.221,22.247,22.26,22.234,22.221,22.234,22.221,22.195,22.156,22.117,22.13,22.182,22.208,22.182,22.169,22.156,22.13,22.078,22.091,22.169,22.208,22.208,22.195,22.195,22.182,22.156,22.156,22.195,22.208,22.221,22.221,22.234,22.221,22.182,22.182,22.208,22.221,22.234,22.26,22.286,22.286,22.26,22.286,22.325,22.325,22.26,22.26,22.299,22.299,22.247,22.208,22.195,22.234,22.299,22.325,22.286,22.26,22.234,22.182,22.104,22.065,22.065,22.078,22.104,22.104,22.091,22.091,22.078,22.052,22.026,22.013,22.026,22.065,22.117,22.156,22.156,22.156,22.156,22.169
,22,22,21.987,22,22.026,22.052,22.052,22.026,21.987,21.961,21.974,22,22.026,22.052,22.052,22.078,22.091,22.091,22.039,22,21.961,21.935,21.948,21.974,22.026,22.078,22.104,22.091,22.039,22,21.987,22,22.013,22.013,21.987,21.935,21.896,21.909,21.974,22.026,22.026,22.013,21.987,21.948,21.922,21.948,21.987,22,21.987,21.961,21.948,21.922,21.896,21.909,21.948,21.974,21.974,22.013,22.065,22.078,22.039,22,21.961,21.974,22.026,22.052,22.039,22.013,21.987,21.987,22,22.026,22.065,22.065,22.052,22.039,22.013,22,22.013,22,21.948,21.922,21.935,21.974,22.026,22.039,22.013,22.026,22.065,22.065,22.013,21.987,22.013,22.039,22.065,22.052,22.013,21.987,21.961,21.948,21.935,21.922,21.909,21.909,21.909,21.896,21.869,21.856,21.869,21.869,21.869,21.896,21.948,21.961,21.935,21.922,21.935,21.974,22.026,22.078,22.13,22.13,22.091,22.117,22.195,22.247,22.234,22.234,22.247,22.26,22.273,22.299,22.338,22.325,22.273,22.234,22.221,22.195,22.169,22.156,22.169,22.169,22.143,22.156,22.195,22.221,22.221,22.234,22.221,22.208,22.195,22.156,22.13,22.091,22.039,22.013,22,21.987,21.961,21.948,21.974,22,22.039,22.052,22.039,22.026,22.026,22.039,22.078,22.104,22.117,22.104,22.065,22.078,22.117,22.143,22.143,22.13,22.117,22.117,22.117,22.13,22.13,22.117,22.091,22.065,22.052,22.026,22,21.961,21.935,21.948,22,22.026,22,22,22.039,22.117,22.221,22.299,22.338,22.351,22.351,22.312,22.273,22.286,22.325,22.338,22.299,22.325,22.416,22.429,22.39,22.338,22.325,22.338,22.351,22.377,22.39,22.39,22.377,22.377,22.39,22.39,22.351,22.338,22.338,22.351,22.364,22.39,22.403,22.377,22.325,22.325,22.338,22.338,22.299,22.299,22.325,22.312,22.26,22.247,22.273,22.273,22.234,22.221,22.234,22.234,22.208,22.182,22.156,22.169,22.208,22.221,22.195,22.182,22.169,22.143,22.091,22.091,22.143,22.182,22.195,22.208,22.208,22.182,22.156,22.156,22.208,22.221,22.195,22.195,22.221,22.221,22.182,22.169,22.195,22.221,22.234,22.247,22.273,22.273,22.26,22.273,22.338,22.338,22.286,22.273,22.299,22.286,22.234,22.195,22.182,22.234,22.325,22.351,22.299,22.26,22.234,22.182,22.13,22.091,22.091,22.091,22.091,22.091,22.078,22.065,22.052,22.039,22.013,22,22,22.039,22.104,22.143,22.169,22.169,22.169,22.169
,22,22,21.987,21.987,21.974,22,22.065,22.052,21.987,21.974,22,22.026,22.013,22,22,22.013,22.065,22.091,22.091,22.065,22.013,21.974,21.961,21.961,22,22.026,22.052,22.052,22.052,22.039,22.013,22,21.987,21.948,21.922,21.896,21.882,21.935,22.026,22.052,22.026,21.987,21.961,21.948,21.961,21.961,21.948,21.935,21.922,21.922,21.948,21.948,21.935,21.948,22,22,21.948,21.961,22.026,22.078,22.091,22.078,22.052,22.026,22.013,22.013,22.013,22,21.974,21.974,22.013,22.039,22.052,22.091,22.13,22.117,22.052,22.039,22.065,22.026,21.922,21.909,22,22.052,22.052,22.052,22.052,22.052,22.052,22.039,22.013,22,22,22.013,22.013,22,21.974,21.948,21.961,21.961,21.948,21.935,21.922,21.896,21.869,21.843,21.83,21.83,21.856,21.869,21.882,21.909,21.948,21.961,21.961,21.948,21.948,21.974,22.026,22.091,22.169,22.195,22.195,22.208,22.234,22.26,22.273,22.26,22.247,22.273,22.325,22.351,22.338,22.299,22.247,22.208,22.182,22.169,22.156,22.169,22.208,22.182,22.143,22.143,22.195,22.221,22.195,22.195,22.221,22.195,22.13,22.117,22.156,22.13,22.039,21.987,21.974,21.974,21.961,21.948,21.935,21.948,22,22.039,22.052,22.039,22.013,22.013,22.039,22.065,22.078,22.078,22.065,22.091,22.156,22.169,22.143,22.117,22.13,22.117,22.078,22.078,22.078,22.078,22.052,22.052,22.065,22.039,21.987,21.961,21.961,21.987,22.013,22.026,22.013,22,22,22.078,22.221,22.312,22.299,22.286,22.286,22.286,22.286,22.273,22.26,22.286,22.325,22.351,22.377,22.364,22.351,22.338,22.338,22.325,22.312,22.325,22.351,22.351,22.351,22.364,22.403,22.377,22.312,22.299,22.351,22.39,22.377,22.377,22.377,22.351,22.312,22.286,22.299,22.299,22.299,22.299,22.299,22.312,22.312,22.325,22.325,22.312,22.273,22.26,22.247,22.234,22.208,22.208,22.221,22.208,22.182,22.156,22.143,22.143,22.143,22.13,22.117,22.117,22.117,22.143,22.182,22.221,22.247,22.234,22.195,22.195,22.221,22.221,22.195,22.182,22.195,22.182,22.156,22.156,22.195,22.234,22.247,22.273,22.273,22.273,22.273,22.286,22.325,22.325,22.273,22.247,22.26,22.273,22.273,22.247,22.221,22.234,22.299,22.299,22.247,22.221,22.221,22.195,22.143,22.117,22.117,22.091,22.065,22.052,22.052,22.039,22.026,22,21.987,21.974,21.974,22,22.052,22.104,22.169,22.195,22.195,22.182
