Parameters:,Emissivity:,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Distance:,1.0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24.1,24.113,24.139,24.139,24.126,24.088,24.049,24.049,24.088,24.088,24.049,24.024,24.037,23.986,23.896,23.883,23.96,23.973,23.909,23.871,23.871,23.883,23.909,23.909,23.883,23.896,23.934,23.986,24.024,24.062,24.088,24.113,24.151,24.164,24.139,24.139,24.164,24.151,24.126,24.1,24.075,24.075,24.075,24.049,23.998,23.973,23.973,23.96,23.947,23.96,23.986,24.011,24.037,24.024,23.986,23.947,23.922,23.883,23.883,23.934,24.037,24.049,23.973,23.934,23.96,23.96,23.922,23.909,23.922,23.934,23.922,23.934,23.96,23.934,23.871,23.883,23.934,23.934,23.871,23.858,23.922,23.96,23.947,23.896,23.819,23.845,23.934,23.96,23.896,23.858,23.871,23.883,23.896,23.896,23.871,23.871,23.909,23.934,23.947,23.973,24.011,24.011,23.998,23.998,24.024,24.062,24.1,24.049,23.934,23.909,23.986,24.049,24.075,24.088,24.113,24.113,24.113,24.1,24.113,24.139,24.151,24.202,24.253,24.317,24.368,24.355,24.279,24.19,24.113,24.062,24.024,23.998,23.973,23.947,23.922,23.922,23.96,23.947,23.896,23.858,23.858,23.883,23.896,23.922,23.934,23.922,23.883,23.858,23.858,23.883,23.909,23.909,23.871,23.819,23.768,23.717,23.679,23.704,23.768,23.807,23.819,23.858,23.922,23.947,23.934,23.896,23.871,23.883,23.922,23.922,23.896,23.934,24.011,24.037,23.998,23.986,24.024,24.049,24.049,24.037,24.011,23.96,23.909,23.883,23.896,23.871,23.794,23.768,23.794,23.832,23.845,23.819,23.768,23.73,23.717,23.717,23.73,23.73,23.717,23.691,23.679,23.679,23.666,23.653,23.615,23.615,23.653,23.704,23.794,23.922,24.075,24.202,24.253,24.241,24.177,24.177,24.228,24.241,24.19,24.164,24.177,24.177,24.177,24.177,24.177,24.177,24.151,24.151,24.164,24.164,24.139,24.113,24.088,24.049,23.998,23.986,23.986,23.973,23.96,23.922,23.883,23.909,23.973,23.998,23.973,23.947,23.934,23.922,23.909,23.883,23.871,23.871,23.883,23.883,23.871,23.858,23.845,23.832,23.807,23.781,23.794,23.845,23.922,23.934,23.883,23.883,23.922,23.896,23.807,23.717,23.679,23.704,23.781,23.807,23.768,23.73,23.717,23.717,23.704,23.704,23.704,23.704,23.717,23.743,23.781,23.781,23.755,23.781,23.858,23.896,23.883,23.896,23.922,23.922,23.909,23.909,23.947,23.96,23.973,23.986,24.024,23.973,23.871,23.871,23.96,24.011,24.024,24.062,24.113,24.113,24.049,23.998,23.973,23.947,23.947,23.96,23.986,23.998,23.986,23.986
,24.075,24.1,24.126,24.139,24.113,24.088,24.049,24.049,24.088,24.088,24.037,24.011,24.011,23.96,23.883,23.896,23.96,23.973,23.909,23.871,23.871,23.883,23.909,23.909,23.896,23.896,23.934,23.973,23.998,24.037,24.088,24.126,24.151,24.139,24.113,24.113,24.139,24.151,24.139,24.113,24.088,24.088,24.088,24.075,24.024,23.986,23.973,23.96,23.96,23.96,23.986,24.011,24.024,24.024,23.998,23.973,23.947,23.934,23.922,23.96,24.024,24.024,23.973,23.947,23.96,23.96,23.934,23.922,23.934,23.922,23.909,23.922,23.96,23.947,23.896,23.896,23.934,23.934,23.871,23.871,23.909,23.947,23.947,23.909,23.845,23.858,23.934,23.96,23.909,23.871,23.858,23.871,23.909,23.922,23.909,23.909,23.934,23.96,23.973,23.986,24.011,24.011,23.998,23.998,24.011,24.049,24.062,24.037,23.973,23.947,23.986,24.024,24.049,24.075,24.088,24.088,24.088,24.088,24.113,24.139,24.177,24.228,24.292,24.33,24.355,24.33,24.253,24.164,24.088,24.037,24.011,23.986,23.96,23.934,23.909,23.896,23.909,23.909,23.883,23.871,23.883,23.883,23.883,23.896,23.909,23.909,23.871,23.858,23.858,23.871,23.871,23.871,23.858,23.819,23.755,23.704,23.679,23.704,23.755,23.807,23.832,23.883,23.934,23.96,23.96,23.934,23.896,23.896,23.922,23.922,23.896,23.934,24.024,24.049,23.998,23.973,23.998,24.024,24.037,24.037,24.011,23.96,23.909,23.883,23.896,23.858,23.794,23.781,23.819,23.845,23.819,23.794,23.755,23.73,23.717,23.717,23.717,23.717,23.717,23.717,23.704,23.679,23.679,23.666,23.64,23.64,23.653,23.704,23.781,23.922,24.088,24.215,24.253,24.253,24.215,24.202,24.241,24.253,24.228,24.19,24.164,24.164,24.19,24.19,24.177,24.164,24.151,24.139,24.139,24.139,24.139,24.126,24.1,24.062,24.011,23.986,23.986,23.986,23.96,23.934,23.922,23.922,23.96,23.973,23.947,23.934,23.934,23.922,23.909,23.883,23.858,23.845,23.871,23.871,23.858,23.845,23.858,23.845,23.807,23.794,23.807,23.845,23.896,23.909,23.871,23.858,23.871,23.858,23.807,23.755,23.743,23.755,23.781,23.794,23.768,23.743,23.743,23.717,23.704,23.691,23.691,23.704,23.717,23.743,23.781,23.794,23.794,23.819,23.858,23.883,23.896,23.909,23.934,23.947,23.934,23.934,23.947,23.947,23.96,23.973,23.986,23.947,23.896,23.922,23.998,24.037,24.024,24.037,24.075,24.075,24.037,23.998,23.973,23.96,23.947,23.96,23.998,24.024,24.011,23.998
,24.037,24.062,24.113,24.126,24.088,24.062,24.049,24.062,24.088,24.062,24.011,23.973,23.96,23.934,23.883,23.909,23.96,23.96,23.883,23.845,23.858,23.883,23.909,23.909,23.896,23.909,23.934,23.947,23.947,24.011,24.1,24.151,24.139,24.1,24.062,24.062,24.113,24.151,24.164,24.139,24.113,24.1,24.126,24.113,24.049,23.998,23.973,23.96,23.986,23.986,23.986,23.986,24.011,24.024,24.011,24.011,23.998,23.998,24.011,24.011,23.998,23.986,23.973,23.96,23.973,23.973,23.973,23.96,23.947,23.922,23.896,23.909,23.96,23.96,23.934,23.922,23.947,23.934,23.896,23.871,23.883,23.909,23.922,23.909,23.871,23.883,23.934,23.947,23.922,23.883,23.858,23.871,23.909,23.947,23.973,23.986,23.998,23.998,24.011,24.011,24.024,24.011,23.998,23.998,24.011,24.011,23.998,24.011,24.024,24.024,23.998,23.998,24.011,24.037,24.037,24.049,24.062,24.075,24.1,24.151,24.228,24.292,24.33,24.355,24.343,24.292,24.19,24.113,24.037,23.998,23.986,23.973,23.934,23.909,23.871,23.832,23.819,23.832,23.858,23.896,23.909,23.896,23.858,23.845,23.858,23.871,23.858,23.845,23.845,23.832,23.807,23.807,23.832,23.807,23.743,23.691,23.679,23.691,23.755,23.807,23.858,23.909,23.947,23.986,23.998,23.986,23.947,23.934,23.947,23.922,23.896,23.947,24.049,24.075,23.998,23.947,23.96,23.986,24.011,24.024,24.011,23.973,23.909,23.883,23.883,23.845,23.794,23.807,23.871,23.858,23.781,23.73,23.717,23.717,23.717,23.704,23.691,23.704,23.743,23.743,23.717,23.691,23.679,23.679,23.691,23.691,23.679,23.691,23.768,23.922,24.113,24.228,24.266,24.266,24.266,24.266,24.253,24.266,24.292,24.241,24.151,24.139,24.202,24.215,24.177,24.139,24.139,24.126,24.1,24.1,24.126,24.139,24.126,24.075,24.011,23.986,23.986,23.973,23.96,23.96,23.973,23.96,23.934,23.922,23.922,23.922,23.922,23.909,23.896,23.858,23.832,23.832,23.858,23.858,23.819,23.832,23.858,23.871,23.832,23.819,23.845,23.858,23.858,23.845,23.832,23.807,23.794,23.794,23.794,23.819,23.845,23.832,23.794,23.768,23.768,23.768,23.768,23.743,23.704,23.679,23.691,23.704,23.73,23.743,23.768,23.807,23.871,23.883,23.858,23.858,23.909,23.947,23.973,23.986,23.998,23.986,23.947,23.934,23.947,23.947,23.922,23.922,23.947,24.011,24.075,24.075,24.024,23.998,24.011,24.024,24.011,23.998,23.998,23.973,23.947,23.973,24.024,24.049,24.037,24.024
,24.024,24.037,24.062,24.075,24.049,24.049,24.049,24.049,24.049,24.024,23.986,23.96,23.947,23.922,23.896,23.896,23.922,23.909,23.858,23.832,23.858,23.871,23.896,23.896,23.883,23.896,23.934,23.947,23.947,24.011,24.126,24.151,24.113,24.062,24.037,24.075,24.139,24.164,24.164,24.139,24.113,24.113,24.126,24.113,24.088,24.037,23.986,23.986,24.011,24.011,23.973,23.973,23.998,24.024,24.037,24.037,24.024,24.011,24.024,24.011,23.998,23.973,23.973,23.973,23.973,23.973,23.998,23.986,23.96,23.922,23.896,23.922,23.973,23.986,23.96,23.96,23.973,23.96,23.922,23.896,23.883,23.883,23.896,23.896,23.896,23.909,23.934,23.947,23.922,23.896,23.858,23.871,23.922,23.973,23.998,24.024,24.037,24.049,24.049,24.049,24.037,24.024,23.998,23.986,23.998,24.011,24.011,24.024,24.049,24.062,24.024,23.998,23.998,23.998,24.011,24.011,24.024,24.049,24.088,24.164,24.253,24.317,24.343,24.343,24.304,24.253,24.177,24.088,24.024,23.973,23.947,23.922,23.896,23.871,23.845,23.794,23.755,23.755,23.807,23.858,23.883,23.871,23.819,23.807,23.819,23.819,23.807,23.807,23.819,23.794,23.768,23.768,23.794,23.781,23.73,23.691,23.691,23.704,23.743,23.794,23.832,23.883,23.922,23.973,23.998,23.998,23.973,23.96,23.96,23.96,23.934,23.973,24.049,24.062,23.986,23.922,23.922,23.934,23.986,24.011,23.998,23.96,23.909,23.883,23.871,23.845,23.819,23.832,23.896,23.871,23.755,23.691,23.691,23.691,23.691,23.679,23.653,23.666,23.717,23.717,23.691,23.666,23.653,23.691,23.73,23.73,23.691,23.704,23.755,23.909,24.113,24.228,24.266,24.266,24.279,24.279,24.279,24.304,24.33,24.279,24.177,24.151,24.202,24.215,24.164,24.139,24.151,24.151,24.113,24.1,24.126,24.126,24.1,24.062,23.998,23.973,23.986,23.973,23.947,23.947,23.973,23.973,23.934,23.909,23.922,23.934,23.947,23.934,23.871,23.832,23.819,23.819,23.832,23.819,23.794,23.794,23.845,23.858,23.832,23.832,23.845,23.845,23.819,23.807,23.807,23.781,23.73,23.73,23.781,23.845,23.883,23.858,23.781,23.743,23.781,23.794,23.768,23.73,23.691,23.691,23.73,23.743,23.743,23.743,23.755,23.794,23.858,23.883,23.845,23.858,23.909,23.96,23.973,23.998,24.024,24.011,23.973,23.96,23.998,23.986,23.934,23.934,23.986,24.049,24.088,24.075,24.011,23.986,23.998,24.011,24.011,23.998,23.986,23.973,23.96,23.986,24.011,24.037,24.037,24.037
,24.062,24.037,24.011,23.998,24.011,24.024,24.037,24.024,23.998,23.973,23.973,23.973,23.96,23.934,23.909,23.871,23.845,23.819,23.819,23.832,23.845,23.871,23.871,23.871,23.858,23.871,23.909,23.947,23.986,24.049,24.151,24.151,24.049,24.024,24.075,24.151,24.202,24.202,24.126,24.1,24.113,24.113,24.088,24.088,24.113,24.088,24.024,24.011,24.049,24.037,23.973,23.947,23.986,24.037,24.049,24.037,23.998,23.973,23.96,23.973,23.998,24.011,23.986,23.96,23.947,23.973,24.011,24.011,23.973,23.934,23.934,23.96,23.998,24.011,23.986,23.986,24.011,24.011,23.96,23.922,23.909,23.883,23.845,23.858,23.896,23.922,23.947,23.947,23.934,23.896,23.871,23.883,23.922,23.96,23.998,24.024,24.049,24.062,24.062,24.062,24.062,24.037,23.998,23.973,23.986,24.024,24.075,24.075,24.037,24.024,24.049,24.049,24.011,23.986,23.998,23.998,24.011,24.037,24.088,24.164,24.228,24.279,24.292,24.292,24.266,24.228,24.177,24.113,24.037,23.96,23.883,23.858,23.845,23.832,23.819,23.781,23.717,23.704,23.743,23.781,23.807,23.807,23.781,23.768,23.768,23.768,23.755,23.755,23.755,23.768,23.768,23.755,23.755,23.73,23.704,23.691,23.704,23.717,23.73,23.755,23.794,23.832,23.871,23.909,23.96,23.973,23.96,23.96,23.986,23.998,24.011,24.024,24.024,24.011,23.96,23.909,23.883,23.909,23.973,23.986,23.973,23.934,23.909,23.883,23.871,23.858,23.858,23.871,23.883,23.845,23.743,23.691,23.679,23.666,23.653,23.64,23.627,23.627,23.653,23.64,23.602,23.589,23.627,23.679,23.73,23.743,23.717,23.717,23.755,23.896,24.088,24.215,24.253,24.253,24.241,24.253,24.304,24.33,24.343,24.304,24.241,24.202,24.19,24.177,24.164,24.164,24.202,24.202,24.19,24.164,24.126,24.1,24.049,24.011,23.986,23.973,23.986,23.96,23.922,23.909,23.922,23.934,23.947,23.934,23.934,23.96,24.011,23.96,23.845,23.794,23.819,23.832,23.807,23.781,23.768,23.781,23.819,23.845,23.832,23.819,23.807,23.794,23.794,23.807,23.807,23.768,23.704,23.704,23.768,23.832,23.858,23.819,23.743,23.743,23.807,23.807,23.73,23.679,23.679,23.73,23.794,23.807,23.768,23.743,23.743,23.768,23.781,23.807,23.832,23.871,23.909,23.947,23.96,23.986,24.024,24.024,24.011,24.024,24.088,24.088,24.024,23.998,24.011,24.024,24.037,24.024,23.998,23.998,24.024,24.037,24.037,23.998,23.947,23.947,23.998,24.011,23.973,23.973,23.998,24.024
,24.049,24.024,23.986,23.973,23.998,24.037,24.049,24.037,23.986,23.96,23.973,23.973,23.973,23.947,23.896,23.858,23.832,23.819,23.819,23.832,23.845,23.871,23.883,23.871,23.858,23.871,23.896,23.947,23.998,24.075,24.139,24.126,24.062,24.062,24.139,24.202,24.228,24.19,24.088,24.062,24.1,24.1,24.075,24.062,24.088,24.1,24.075,24.075,24.088,24.049,23.973,23.947,23.973,24.024,24.049,24.037,23.998,23.947,23.922,23.934,23.986,24.011,23.998,23.96,23.947,23.96,23.998,23.986,23.947,23.909,23.909,23.947,23.998,24.011,23.986,23.986,24.011,24.011,23.973,23.934,23.922,23.896,23.883,23.896,23.934,23.973,23.986,23.973,23.947,23.922,23.909,23.909,23.934,23.96,23.973,23.998,24.024,24.037,24.024,24.024,24.037,24.024,23.986,23.96,23.973,24.011,24.088,24.075,23.998,23.973,24.037,24.062,24.037,24.011,24.011,24.011,24.024,24.062,24.1,24.151,24.202,24.228,24.241,24.241,24.215,24.202,24.19,24.126,24.011,23.909,23.845,23.807,23.807,23.794,23.768,23.743,23.717,23.704,23.704,23.717,23.73,23.743,23.743,23.73,23.717,23.704,23.679,23.679,23.704,23.743,23.768,23.768,23.743,23.691,23.653,23.666,23.704,23.73,23.743,23.768,23.794,23.819,23.845,23.883,23.922,23.934,23.934,23.934,23.947,23.986,24.024,24.024,24.011,23.973,23.934,23.909,23.909,23.934,23.973,23.986,23.947,23.922,23.909,23.883,23.845,23.845,23.845,23.845,23.845,23.794,23.73,23.679,23.653,23.627,23.615,23.615,23.615,23.615,23.602,23.589,23.576,23.602,23.653,23.704,23.73,23.743,23.73,23.717,23.743,23.858,24.037,24.177,24.228,24.253,24.241,24.266,24.292,24.304,24.292,24.266,24.266,24.228,24.164,24.139,24.151,24.177,24.202,24.215,24.215,24.19,24.164,24.1,24.049,24.011,23.986,23.986,23.986,23.973,23.934,23.909,23.896,23.909,23.947,23.96,23.947,23.973,24.011,23.973,23.871,23.819,23.858,23.845,23.807,23.768,23.755,23.768,23.807,23.819,23.832,23.819,23.794,23.781,23.781,23.794,23.807,23.794,23.755,23.743,23.755,23.794,23.819,23.807,23.755,23.768,23.819,23.819,23.743,23.691,23.704,23.755,23.832,23.845,23.781,23.755,23.755,23.768,23.768,23.794,23.845,23.883,23.909,23.947,23.973,23.998,24.011,24.024,24.024,24.049,24.088,24.1,24.062,24.037,24.024,24.011,24.011,23.998,23.998,23.998,24.011,24.024,24.037,24.024,23.973,23.973,24.024,24.024,23.986,23.973,23.998,24.011
,24.011,24.011,23.998,23.998,24.024,24.049,24.075,24.062,24.024,23.986,23.973,23.973,23.986,23.947,23.896,23.871,23.883,23.871,23.845,23.832,23.858,23.883,23.896,23.909,23.909,23.896,23.883,23.922,23.986,24.049,24.088,24.1,24.113,24.139,24.19,24.228,24.202,24.139,24.049,24.024,24.062,24.088,24.075,24.062,24.037,24.062,24.113,24.139,24.113,24.062,23.998,23.96,23.96,23.986,24.024,24.037,24.011,23.973,23.909,23.909,23.947,23.986,23.998,23.973,23.947,23.934,23.96,23.947,23.896,23.858,23.858,23.896,23.973,23.998,23.973,23.973,23.986,23.973,23.947,23.922,23.922,23.934,23.96,23.986,24.011,24.024,24.024,23.998,23.96,23.934,23.947,23.96,23.96,23.96,23.947,23.96,23.973,23.973,23.947,23.934,23.96,23.973,23.973,23.96,23.947,23.973,24.011,24.011,23.947,23.947,23.998,24.037,24.049,24.049,24.049,24.049,24.075,24.1,24.126,24.151,24.164,24.177,24.19,24.19,24.19,24.19,24.177,24.1,23.96,23.858,23.794,23.781,23.781,23.755,23.704,23.691,23.717,23.717,23.679,23.666,23.666,23.679,23.691,23.679,23.666,23.64,23.615,23.615,23.666,23.73,23.781,23.781,23.73,23.666,23.602,23.615,23.666,23.73,23.781,23.819,23.845,23.858,23.871,23.883,23.896,23.896,23.896,23.883,23.871,23.909,23.973,24.011,23.998,23.947,23.909,23.922,23.986,24.011,23.998,23.973,23.934,23.909,23.909,23.871,23.819,23.781,23.781,23.781,23.768,23.743,23.704,23.653,23.602,23.576,23.563,23.589,23.627,23.615,23.589,23.576,23.615,23.679,23.73,23.755,23.73,23.717,23.717,23.717,23.73,23.819,23.998,24.139,24.215,24.266,24.292,24.292,24.279,24.241,24.202,24.202,24.253,24.228,24.164,24.139,24.151,24.177,24.177,24.177,24.19,24.202,24.19,24.151,24.088,24.037,24.024,23.998,23.986,23.986,23.986,23.96,23.909,23.896,23.934,23.96,23.96,23.96,23.96,23.947,23.934,23.909,23.883,23.845,23.807,23.781,23.781,23.794,23.807,23.819,23.819,23.807,23.794,23.794,23.794,23.807,23.819,23.832,23.845,23.819,23.768,23.768,23.819,23.832,23.794,23.794,23.832,23.832,23.807,23.768,23.743,23.768,23.819,23.832,23.794,23.781,23.794,23.819,23.845,23.858,23.858,23.883,23.909,23.96,24.011,24.037,24.024,24.011,24.024,24.024,24.011,24.024,24.037,24.037,24.037,24.024,24.011,24.011,24.011,23.998,23.973,23.973,24.024,24.049,24.049,24.037,24.037,24.037,24.037,24.037,24.037,24.024
,23.998,23.998,23.998,23.998,24.011,24.037,24.062,24.075,24.049,24.011,23.986,23.973,23.998,23.96,23.883,23.858,23.896,23.896,23.858,23.845,23.858,23.883,23.883,23.909,23.947,23.934,23.909,23.922,23.986,24.024,24.037,24.062,24.113,24.164,24.215,24.228,24.19,24.126,24.062,24.037,24.062,24.075,24.088,24.062,24.024,24.049,24.113,24.139,24.113,24.075,24.024,23.986,23.96,23.973,24.024,24.037,24.024,23.986,23.947,23.934,23.947,23.973,23.998,23.998,23.986,23.973,23.973,23.934,23.896,23.858,23.858,23.883,23.947,23.973,23.973,23.973,23.973,23.947,23.896,23.883,23.896,23.922,23.973,23.986,23.986,23.986,23.998,23.986,23.96,23.96,23.986,23.986,23.96,23.947,23.934,23.934,23.96,23.947,23.922,23.909,23.934,23.947,23.934,23.934,23.934,23.934,23.947,23.947,23.947,23.947,23.973,24.011,24.062,24.088,24.088,24.088,24.088,24.1,24.126,24.151,24.151,24.164,24.177,24.177,24.151,24.151,24.139,24.075,23.947,23.832,23.768,23.743,23.743,23.717,23.64,23.627,23.679,23.691,23.653,23.627,23.627,23.627,23.64,23.627,23.627,23.602,23.576,23.589,23.653,23.704,23.73,23.73,23.704,23.666,23.615,23.615,23.653,23.717,23.768,23.819,23.858,23.871,23.883,23.896,23.883,23.871,23.871,23.858,23.858,23.883,23.947,23.986,23.973,23.947,23.909,23.922,23.986,23.998,23.947,23.909,23.896,23.896,23.896,23.858,23.781,23.743,23.73,23.73,23.717,23.704,23.679,23.653,23.627,23.602,23.576,23.589,23.615,23.602,23.563,23.576,23.64,23.704,23.743,23.743,23.717,23.691,23.679,23.691,23.704,23.807,23.986,24.139,24.241,24.304,24.33,24.317,24.292,24.253,24.202,24.215,24.266,24.266,24.202,24.177,24.19,24.202,24.202,24.19,24.19,24.19,24.19,24.164,24.1,24.062,24.037,24.011,23.998,23.998,24.011,23.998,23.947,23.934,23.947,23.96,23.947,23.934,23.909,23.922,23.947,23.934,23.883,23.845,23.819,23.807,23.819,23.832,23.832,23.819,23.807,23.807,23.807,23.819,23.832,23.845,23.858,23.871,23.871,23.845,23.794,23.794,23.832,23.832,23.819,23.807,23.819,23.819,23.819,23.807,23.781,23.781,23.807,23.807,23.807,23.807,23.819,23.845,23.871,23.871,23.871,23.883,23.922,23.96,23.998,24.024,24.024,24.024,24.037,24.024,23.998,23.998,24.011,24.037,24.062,24.062,24.037,24.024,24.037,24.024,23.998,23.998,24.011,24.037,24.062,24.049,24.024,24.024,24.049,24.062,24.062,24.049
,24.024,23.998,23.96,23.947,23.96,23.998,24.037,24.049,24.049,24.024,23.973,23.973,24.011,23.973,23.883,23.832,23.845,23.858,23.858,23.858,23.871,23.871,23.858,23.883,23.96,23.973,23.947,23.96,23.998,24.011,24.011,24.024,24.062,24.126,24.19,24.215,24.164,24.126,24.1,24.088,24.088,24.088,24.088,24.075,24.062,24.062,24.062,24.088,24.1,24.088,24.049,23.998,23.96,23.973,24.037,24.049,24.011,23.998,24.011,23.998,23.973,23.96,23.986,24.011,24.049,24.037,24.011,23.973,23.947,23.922,23.896,23.909,23.922,23.947,23.986,23.998,23.986,23.934,23.858,23.832,23.845,23.883,23.909,23.909,23.883,23.883,23.934,23.96,23.947,23.96,23.998,23.998,23.947,23.922,23.922,23.934,23.986,23.986,23.96,23.934,23.947,23.934,23.909,23.909,23.934,23.934,23.909,23.934,23.986,23.998,23.973,23.998,24.049,24.1,24.126,24.113,24.075,24.075,24.126,24.151,24.164,24.164,24.19,24.177,24.139,24.1,24.075,24.024,23.96,23.858,23.743,23.691,23.691,23.666,23.589,23.576,23.602,23.615,23.589,23.602,23.627,23.615,23.589,23.589,23.602,23.602,23.589,23.615,23.666,23.666,23.627,23.627,23.679,23.704,23.679,23.666,23.666,23.691,23.717,23.768,23.819,23.858,23.883,23.896,23.883,23.871,23.858,23.871,23.909,23.934,23.947,23.947,23.96,23.947,23.922,23.922,23.934,23.909,23.845,23.819,23.845,23.871,23.883,23.845,23.768,23.717,23.704,23.704,23.691,23.666,23.666,23.679,23.691,23.679,23.627,23.602,23.602,23.576,23.55,23.576,23.64,23.679,23.691,23.691,23.691,23.666,23.64,23.64,23.691,23.819,24.011,24.177,24.279,24.343,24.355,24.343,24.343,24.317,24.279,24.292,24.33,24.33,24.292,24.253,24.241,24.253,24.279,24.253,24.202,24.164,24.151,24.126,24.088,24.049,24.024,24.011,23.998,23.998,23.998,24.011,24.011,23.998,23.998,23.96,23.922,23.896,23.896,23.896,23.896,23.883,23.858,23.832,23.845,23.858,23.871,23.871,23.858,23.832,23.807,23.807,23.819,23.845,23.871,23.896,23.909,23.883,23.832,23.819,23.845,23.858,23.858,23.832,23.794,23.781,23.781,23.794,23.794,23.794,23.807,23.807,23.794,23.794,23.807,23.807,23.832,23.832,23.845,23.858,23.871,23.896,23.934,23.947,23.947,23.96,24.011,24.049,24.062,24.075,24.075,24.049,24.011,24.024,24.1,24.113,24.075,24.049,24.062,24.075,24.1,24.075,24.037,24.011,24.011,24.024,24.024,24.024,24.024,24.037,24.075,24.088
