Parameters:,Emissivity:,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Distance:,1.0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21.96,22.059,21.971,22.07,22.12,22.059,21.977,21.988,21.899,22.092,22.01,21.866,22.021,21.988,22.065,21.999,21.988,21.977,22.054,21.927,21.938,22.037,21.993,22.109,22.076,22.153,22.103,22.142,21.988,22.081,22.054,22.131,22.247,22.081,22.12,22.219,22.153,22.087,22.136,22.103,22.197,22.098,22.048,22.236,22.225,22.203,22.175,22.048,22.164,22.07,22.103,22.186,22.148,22.142,22.087,22.114,22.153,22.114,22.136,22.225,22.07,22.032,21.993,22.065,22.076,22.037,22.12,22.103,22.109,22.136,22.103,22.114,22.186,22.175,22.175,22.219,22.164,22.318,22.247,22.225,22.236,22.269,22.252,22.247,22.28,22.247,22.285,22.12,22.225,22.181,22.109,22.153,22.136,22.131,22.136,22.059,22.197,22.059,22.12,22.048,21.927,22.092,21.977,21.999,21.988,21.927,22.076,21.988,22.004,21.966,22.026,21.916,21.921,21.982,21.927,21.988,21.977,22.065,21.955,21.949,21.977,21.938,21.894,22.087,22.059,21.971,22.07,22.054,22.048,22.07,21.999,22.114,22.125,22.12,22.12,22.098,22.131,22.092,22.103,22.103,22.175,22.175,22.142,22.153,22.186,22.263,22.192,22.065,22.269,22.236,22.186,22.159,22.203,22.23,22.219,22.164,22.01,22.247,22.153,22.148,22.125,22.192,22.131,22.12,22.159,22.048,22.219,22.236,22.181,22.214,22.241,22.175,22.241,22.214,22.329,22.214,22.296,22.28,22.379,22.219,22.263,22.274,22.335,22.274,22.258,22.302,22.307,22.197,22.236,22.23,22.175,22.092,22.181,22.252,22.181,22.159,22.015,22.12,22.17,22.114,22.125,22.192,22.103,22.181,22.103,22.114,22.203,22.219,22.07,22.07,22.148,22.17,22.17,22.192,22.164,22.197,22.175,22.181,22.214,22.186,22.241,22.258,22.164,22.236,22.136,22.258,22.181,22.203,22.181,22.23,22.192,22.186,22.241,22.258,22.192,22.192,22.28,22.263,22.285,22.263,22.181,22.28,22.23,22.241,22.136,22.269,22.203,22.081,22.131,22.043,22.142,22.114,22.004,22.197,22.186,22.043,22.192,22.037,22.197,22.159,22.164,22.125,22.048,22.136,22.114,22.048,22.081,22.175,22.032,22.136,22.092,21.999,22.142,22.175,22.048,22.219,22.181,22.159,22.125,22.065,22.159,22.065,22.109,22.092,22.087,22.186,22.175,22.203,22.181,22.065,22.087,22.103,22.252,21.982,22.114,22.092,22.258,22.236,22.087,22.043,22.131,22.065,22.148,22.175,22.076,22.164,22.148,22.026,22.109,22.015,22.103,22.192,22.054,22.103,22.274,22.004,22.203,22.103,22.026,22.136
,21.899,22.043,21.982,22.01,21.828,22.076,22.059,22.037,22.026,22.087,22.01,21.977,22.136,22.092,22.037,21.932,21.993,22.032,22.037,21.944,22.109,21.988,21.932,22.015,22.081,22.241,22.103,22.098,22.208,22.12,22.203,22.125,22.203,22.131,22.219,22.114,22.081,22.153,22.203,22.153,22.087,21.96,22.164,22.164,22.186,22.136,22.164,22.081,22.125,22.059,22.081,22.214,22.142,22.192,22.136,22.175,22.17,22.181,22.148,22.164,22.021,22.148,22.109,22.252,22.214,22.07,22.153,22.148,22.192,22.098,22.098,22.136,22.12,22.214,22.159,22.17,22.192,22.28,22.219,22.291,22.241,22.23,22.285,22.252,22.241,22.175,22.153,22.136,22.103,22.197,22.054,22.159,22.192,22.192,21.988,22.208,22.109,21.982,22.032,22.103,21.977,22.065,22.048,22.048,22.059,22.043,21.921,22.092,21.988,21.999,21.877,21.955,21.977,21.91,21.993,21.894,22.07,21.982,21.977,22.01,21.894,22.015,21.96,22.026,21.916,22.103,22.12,22.109,22.01,22.048,22.159,22.043,22.043,22.098,22.01,22.12,22.076,22.269,22.17,22.258,22.148,22.263,22.114,22.136,22.225,22.241,22.291,22.241,22.269,22.214,22.203,22.203,22.225,22.021,22.203,22.131,22.258,22.12,22.081,22.142,22.125,22.125,22.114,22.142,22.208,22.12,22.131,22.186,22.159,22.186,22.307,22.192,22.296,22.258,22.208,22.263,22.296,22.208,22.252,22.241,22.252,22.23,22.23,22.219,22.269,22.197,22.225,22.219,22.186,22.186,22.153,22.263,22.263,22.175,22.192,22.153,22.17,22.131,22.136,22.131,22.12,22.131,22.098,22.208,22.032,22.136,22.291,22.114,22.087,22.175,22.159,22.142,22.296,22.159,22.081,22.208,22.142,22.23,22.296,22.197,22.28,22.148,22.263,22.197,22.175,22.225,22.148,22.285,22.247,22.263,22.214,22.208,22.351,22.263,22.318,22.274,22.236,22.247,22.241,22.203,22.225,22.203,22.181,22.214,22.197,22.335,22.12,22.059,22.153,21.96,22.142,22.125,22.059,22.186,22.17,22.159,22.219,22.021,22.192,22.28,22.214,22.181,22.203,22.098,22.07,22.065,22.125,22.037,22.148,22.159,22.17,22.103,22.148,22.059,22.098,22.054,22.192,22.214,22.175,22.142,22.07,22.087,22.059,22.043,22.087,22.081,22.092,22.092,22.164,22.059,22.142,22.114,22.098,22.142,22.076,22.136,22.037,22.148,22.241,22.186,22.12,22.07,22.148,22.12,22.192,22.219,22.241,22.026,22.048,21.993,22.081,22.192,22.164,22.236,22.048,22.054,22.153,22.065,22.153,22.17
,21.916,22.032,22.032,22.054,21.977,22.032,22.081,21.949,22.01,21.982,21.999,22.032,22.037,22.059,22.181,22.043,21.955,21.916,22.136,22.125,22.048,22.07,22.004,22.037,22.054,22.125,22.109,22.098,22.159,22.159,22.136,22.048,22.07,22.181,22.159,22.197,22.208,22.131,22.17,22.092,22.159,22.148,22.192,22.054,22.092,22.197,22.17,22.181,22.076,22.136,22.103,22.026,22.164,22.125,22.142,22.203,22.136,22.12,22.131,22.103,22.098,22.159,22.208,22.131,22.026,22.219,22.087,22.065,22.059,22.153,22.114,22.103,22.114,22.225,22.103,22.241,22.186,22.263,22.258,22.357,22.296,22.219,22.186,22.087,22.307,22.181,22.17,22.098,22.241,22.153,22.065,22.065,22.148,22.131,22.186,22.17,22.098,22.015,22.048,22.054,22.114,21.883,22.043,22.059,22.021,22.01,22.01,21.999,21.96,22.004,21.988,22.01,21.955,22.01,21.988,22.026,22.059,21.971,21.938,21.982,21.949,21.927,21.949,22.015,22.103,22.01,21.993,21.977,22.043,21.949,22.07,22.021,22.076,22.103,22.148,22.054,22.236,22.159,22.241,22.192,22.203,22.302,22.12,22.192,22.131,22.164,22.225,22.208,22.368,22.269,22.203,22.302,22.192,22.164,22.186,22.214,22.192,22.087,22.131,22.131,22.148,22.092,22.17,22.208,22.12,22.181,22.219,22.208,22.23,22.252,22.17,22.236,22.258,22.186,22.329,22.351,22.318,22.241,22.324,22.324,22.208,22.285,22.225,22.236,22.285,22.142,22.252,22.335,22.214,22.346,22.203,22.186,22.175,22.219,22.406,22.004,22.125,22.114,22.065,22.103,22.197,22.07,22.109,22.192,22.12,22.114,22.125,22.125,22.12,22.252,22.153,22.164,22.186,22.269,22.065,22.252,22.214,22.175,22.181,22.192,22.219,22.181,22.247,22.241,22.296,22.148,22.192,22.241,22.274,22.263,22.186,22.131,22.219,22.28,22.274,22.296,22.302,22.307,22.28,22.214,22.186,22.313,22.225,22.114,22.142,22.258,22.208,22.17,22.148,22.186,22.219,21.966,22.092,22.203,22.081,22.186,22.065,22.103,22.23,22.346,22.214,22.203,22.103,22.225,22.076,22.092,22.225,22.103,22.125,22.148,22.092,22.004,22.136,22.065,22.274,22.054,22.247,22.192,22.092,22.136,22.142,22.109,22.065,22.203,22.048,22.175,22.037,22.109,22.181,22.148,22.131,22.098,22.175,22.12,22.081,22.109,22.164,22.131,22.192,22.186,22.252,22.164,22.153,22.148,22.214,22.269,22.131,22.125,22.131,22.175,22.186,22.114,22.109,22.197,22.247,22.131,22.258,22.175,22.12,21.993
,21.905,22.015,21.971,21.921,22.048,22.076,22.065,21.932,21.982,22.01,21.999,21.955,22.048,22.059,22.059,22.07,21.966,21.988,22.114,22.054,22.01,22.092,22.098,22.092,22.076,22.136,22.159,21.977,22.114,22.175,22.109,22.164,22.131,22.236,22.175,22.175,22.159,22.203,22.153,22.148,22.004,22.142,22.269,22.109,22.197,22.037,22.148,22.098,21.988,22.081,22.048,22.203,22.197,22.208,22.208,22.125,22.142,22.103,22.054,22.142,22.054,22.142,22.059,22.219,22.175,22.131,22.092,22.114,22.109,22.098,22.142,22.142,22.087,22.192,22.252,22.192,22.17,22.329,22.263,22.241,22.313,22.241,22.263,22.252,22.263,22.159,22.164,22.203,22.225,22.302,22.021,22.313,22.092,22.054,22.17,22.114,22.12,22.164,22.12,22.087,22.12,22.059,22.021,22.065,22.048,22.076,22.021,22.076,22.054,22.098,22.015,22.103,21.91,21.993,21.927,21.921,22.081,21.91,21.927,21.955,21.955,21.977,21.999,22.026,22.015,21.921,22.109,21.999,22.037,22.076,22.17,22.07,22.043,22.081,22.059,22.07,22.12,22.175,22.236,22.164,22.192,22.175,22.142,22.153,22.159,22.236,22.401,22.214,22.192,22.186,22.181,22.241,22.203,22.214,22.225,22.252,22.142,22.247,22.148,22.197,22.109,22.114,22.258,22.076,22.214,22.23,22.214,22.197,22.192,22.219,22.263,22.186,22.203,22.153,22.34,22.318,22.285,22.307,22.219,22.318,22.225,22.159,22.219,22.324,22.23,22.291,22.181,22.219,22.17,22.296,22.208,22.192,22.153,22.159,22.153,22.12,22.142,22.203,22.076,22.059,22.087,22.136,22.081,22.059,22.142,22.065,22.136,22.059,22.181,22.219,22.136,22.159,22.263,22.142,22.269,22.192,22.241,22.197,22.197,22.241,22.214,22.214,22.269,22.269,22.258,22.197,22.148,22.197,22.181,22.17,22.214,22.23,22.247,22.219,22.236,22.335,22.192,22.192,22.159,22.192,22.175,22.214,22.313,22.302,22.258,22.092,22.258,22.109,22.203,22.17,22.125,22.153,22.087,22.175,22.181,22.23,22.048,22.109,22.148,22.258,22.098,22.12,22.208,22.103,22.153,22.092,22.065,22.054,22.114,22.148,22.109,22.136,22.12,22.136,22.148,22.076,22.197,22.252,22.17,22.125,22.065,22.291,22.092,21.971,22.197,22.092,22.059,22.346,22.164,22.142,22.131,22.142,22.175,22.098,22.236,22.037,22.098,22.208,22.23,22.181,22.12,22.247,22.136,22.098,22.103,22.181,22.12,22.131,21.971,22.021,22.164,22.175,22.136,22.092,22.181,22.159,22.098,22.059,22.192,22.148
,21.971,21.999,22.048,21.96,22.087,22.026,21.888,21.938,21.988,22.026,22.07,22.136,21.993,21.905,21.999,21.927,22.037,22.136,21.944,22.059,22.048,22.054,22.043,22.054,22.065,22.12,22.103,22.103,22.125,22.208,22.07,22.159,22.048,22.136,22.274,22.125,22.125,22.153,22.103,22.103,22.175,22.148,22.153,22.208,22.181,22.004,22.153,22.059,22.092,22.087,22.125,22.247,22.136,22.136,22.181,22.186,22.203,22.098,22.148,22.175,21.899,22.214,22.109,22.181,22.087,22.07,22.037,22.164,22.175,22.12,22.021,22.109,22.136,22.236,22.263,22.236,22.148,22.186,22.241,22.23,22.23,22.34,22.186,22.175,22.258,22.225,22.269,22.142,22.159,22.148,22.065,22.125,22.059,22.026,22.098,22.043,22.136,22.07,22.159,22.076,22.054,22.026,22.07,21.932,22.026,22.114,21.982,22.114,22.043,22.059,22.092,22.004,21.883,21.971,21.982,21.971,21.932,21.883,22.07,21.883,21.949,21.999,21.905,22.043,21.999,21.982,22.026,22.021,22.037,22.048,22.026,22.07,22.17,22.054,22.114,22.125,22.142,22.241,22.12,22.252,22.114,22.153,22.114,22.164,22.208,22.192,22.23,22.208,22.412,22.274,22.197,22.252,22.175,22.103,22.362,22.17,22.12,22.12,22.12,22.109,22.159,22.142,22.208,22.142,22.098,22.175,22.219,22.236,22.125,22.291,22.23,22.131,22.236,22.247,22.247,22.197,22.252,22.285,22.252,22.247,22.269,22.225,22.203,22.219,22.384,22.23,22.23,22.181,22.197,22.17,22.192,22.103,22.197,22.175,22.109,22.131,22.065,22.241,22.131,22.048,22.164,22.026,22.081,22.148,22.087,22.192,22.136,22.109,22.098,22.219,22.092,22.225,22.17,22.164,22.125,22.236,22.203,22.225,22.252,22.285,22.28,22.181,22.269,22.219,22.181,22.252,22.059,22.131,22.153,22.285,22.159,22.175,22.252,22.236,22.313,22.28,22.153,22.153,22.153,22.274,22.192,22.197,22.159,22.175,22.103,22.148,22.153,22.092,22.17,22.285,22.192,22.219,22.142,22.136,22.142,22.109,22.164,22.114,22.153,22.208,22.12,22.208,22.23,22.098,22.098,22.125,22.043,22.159,21.971,22.159,22.136,22.12,22.109,22.114,22.12,22.197,22.098,22.125,22.153,22.081,22.054,22.059,22.114,22.103,22.076,22.07,22.048,22.192,22.081,22.208,22.164,22.01,22.131,22.092,22.164,22.203,22.236,22.252,22.197,22.164,22.01,22.192,22.159,22.203,21.982,22.12,22.214,22.131,22.241,22.048,22.203,22.07,22.114,22.081,22.225,22.175,21.949,22.181,21.955,22.186
,21.96,21.949,22.059,21.888,21.988,22.065,21.971,21.91,22.048,21.988,22.065,21.988,22.021,22.098,22.032,22.015,22.065,21.971,22.098,21.982,21.96,22.043,22.103,22.015,22.125,22.065,21.955,22.103,22.098,22.12,22.136,22.059,22.186,22.181,22.092,22.159,22.252,22.192,22.076,22.109,22.07,22.153,22.12,22.103,22.28,22.125,22.131,22.026,22.175,22.131,22.136,22.159,22.076,22.236,22.203,22.136,22.164,22.059,22.197,22.208,22.004,22.186,22.12,22.114,22.114,22.186,22.142,22.114,22.136,22.131,22.07,22.208,22.136,22.296,22.203,22.192,22.181,22.159,22.148,22.302,22.214,22.203,22.318,22.23,22.269,22.247,22.214,22.164,22.186,22.181,21.977,22.148,22.153,22.159,22.043,21.982,22.192,22.015,22.142,22.098,21.988,22.026,22.037,22.054,22.054,22.026,22.081,22.103,22.081,22.004,21.971,21.932,21.944,21.993,21.988,22.021,22.043,21.955,21.833,21.96,21.883,22.021,22.026,21.982,22.01,21.932,21.932,22.037,22.065,22.07,22.092,21.999,22.136,22.109,22.07,22.021,22.153,22.065,22.148,22.081,22.153,22.131,22.07,22.12,22.109,22.125,22.291,22.28,22.252,22.219,22.203,22.219,22.159,22.148,22.131,22.164,22.103,22.175,22.125,22.07,22.087,22.114,22.081,22.175,22.048,22.142,22.192,22.159,22.247,22.247,22.225,22.159,22.17,22.208,22.263,22.241,22.346,22.269,22.203,22.269,22.225,22.17,22.197,22.241,22.274,22.153,22.203,22.131,22.114,22.164,22.197,22.17,22.214,22.186,22.159,22.076,22.092,21.993,22.026,22.125,22.181,22.159,22.181,22.153,22.054,22.148,22.109,22.125,22.197,22.125,22.159,22.131,22.114,22.181,22.181,22.219,22.208,22.236,22.241,22.103,22.148,22.148,22.136,22.203,22.241,22.241,22.153,22.214,22.181,22.208,22.203,22.192,22.307,22.258,22.247,22.269,22.236,22.164,22.192,22.219,22.197,22.131,22.164,22.114,22.131,22.114,22.225,22.23,22.109,22.114,22.054,22.076,22.208,22.098,22.098,22.203,22.181,22.125,22.175,22.136,22.175,22.192,22.164,22.081,22.164,22.059,22.186,22.01,22.12,22.136,22.065,22.136,22.081,22.148,22.087,22.181,22.153,22.203,22.125,22.12,22.114,22.23,22.081,22.07,22.087,22.192,22.059,22.037,22.208,22.087,22.037,22.01,22.136,22.148,22.175,22.125,22.076,22.203,22.192,22.208,22.181,22.043,22.125,22.252,22.142,22.12,22.092,22.236,22.114,21.971,22.004,22.12,22.087,22.148,22.07,22.043,22.087,21.96,21.977,22.054
,21.877,21.927,22.103,22.021,22.092,22.032,22.004,21.966,22.004,22.048,21.949,22.125,22.12,22.015,22.059,21.993,22.043,21.971,21.932,22.054,21.955,21.877,22.114,22.043,22.07,22.114,22.109,22.043,22.098,22.12,22.17,22.192,22.159,22.136,22.12,22.181,22.186,21.949,22.081,22.065,22.081,22.109,22.081,22.109,22.203,22.148,22.07,22.12,22.092,22.159,22.109,22.114,22.103,22.148,22.103,22.164,22.214,22.109,22.142,22.125,22.054,22.148,22.059,22.092,22.087,22.076,22.109,22.081,22.059,22.125,22.125,22.192,22.159,22.197,22.148,22.269,22.263,22.302,22.186,22.291,22.274,22.136,22.081,22.192,22.252,22.258,22.164,22.148,22.208,22.192,22.004,22.153,22.142,22.181,22.032,22.114,22.114,22.015,22.092,22.092,22.07,21.988,21.993,22.004,22.004,21.999,22.081,21.977,22.015,22.026,22.125,21.921,22.103,21.982,21.988,21.955,21.921,21.949,21.916,21.921,21.927,22.059,21.877,21.944,21.905,22.01,22.026,21.96,21.966,22.021,22.098,22.026,21.993,22.092,22.059,22.153,22.241,22.059,22.076,22.153,22.17,22.148,22.098,22.12,22.219,22.07,22.17,22.214,22.313,22.114,22.23,22.12,22.208,22.17,22.192,22.197,22.236,22.219,22.081,22.125,22.048,22.076,22.131,22.103,22.114,22.109,22.092,22.125,22.159,22.274,22.225,22.203,22.368,22.225,22.258,22.225,22.241,22.219,22.269,22.236,22.247,22.34,22.142,22.214,22.208,22.181,22.103,22.23,22.12,22.219,22.241,22.186,22.23,22.186,22.142,22.065,22.076,22.054,22.032,22.037,22.203,22.07,22.043,22.054,22.048,22.125,22.07,22.241,22.186,22.07,22.192,22.17,22.192,22.208,22.197,22.225,22.148,22.247,22.28,22.208,22.17,22.175,22.186,22.17,22.131,22.142,22.208,22.131,22.296,22.164,22.263,22.258,22.23,22.164,22.192,22.164,22.28,22.159,22.203,22.208,22.186,22.142,22.197,22.186,22.192,22.302,22.175,22.103,22.087,22.109,22.131,22.12,22.103,22.081,22.087,22.159,22.026,22.17,22.181,22.236,22.159,22.103,22.23,22.087,22.181,22.103,22.164,22.021,22.065,22.159,22.181,22.065,22.17,21.971,22.087,22.059,22.203,22.07,22.131,22.076,22.175,22.076,22.081,22.07,21.971,22.148,22.059,22.081,22.098,22.181,22.125,22.241,22.136,22.203,22.148,22.136,22.208,22.109,22.258,22.109,22.065,22.175,22.125,22.081,22.186,22.186,22.236,22.114,22.043,22.059,22.076,22.087,22.12,22.054,22.164,22.037,22.192,22.048,22.12,22.148
,21.767,21.977,21.999,22.054,21.993,22.015,21.855,21.982,22.081,22.01,22.054,22.081,22.043,22.136,22.048,22.032,22.021,21.921,22.098,22.015,22.026,21.993,22.021,22.153,22.01,22.01,22.026,22.004,22.087,22.043,22.065,22.225,22.148,22.164,22.136,22.203,22.114,22.125,22.28,22.098,22.219,22.175,22.136,22.136,22.23,22.087,22.125,22.153,22.01,22.142,22.175,22.136,22.125,22.125,22.153,22.203,22.153,22.142,22.148,22.142,22.054,22.109,22.026,22.087,22.125,22.148,22.181,22.065,22.103,22.269,22.192,22.181,22.175,22.17,22.23,22.274,22.285,22.477,22.28,22.368,22.351,22.175,22.197,22.197,22.17,22.181,22.192,22.004,22.197,22.175,22.021,22.175,22.214,22.12,22.081,22.131,22.032,22.114,22.109,22.109,22.114,22.043,22.087,21.988,21.944,22.048,21.971,21.966,22.015,22.015,21.971,22.059,22.076,22.037,22.048,21.955,21.949,21.921,21.999,21.96,21.966,22.026,21.927,22.01,22.026,22.026,22.032,21.971,22.043,22.015,22.092,22.021,22.125,22.081,22.092,22.131,22.103,22.098,22.087,22.186,22.252,22.136,22.164,22.12,22.159,22.285,22.203,22.274,22.241,22.197,22.247,22.214,22.247,22.208,22.148,22.203,22.186,22.186,22.103,22.203,22.109,22.136,22.07,22.092,22.164,22.17,22.247,22.197,22.23,22.114,22.241,22.186,22.313,22.28,22.252,22.263,22.219,22.406,22.274,22.285,22.296,22.181,22.285,22.186,22.269,22.219,22.17,22.241,22.225,22.203,22.175,22.087,22.296,22.109,22.059,22.186,22.23,22.07,22.048,22.048,22.098,22.098,22.208,22.092,22.148,22.125,22.109,22.214,22.208,22.208,22.203,22.219,22.203,22.219,22.225,22.263,22.208,22.197,22.357,22.164,22.186,22.175,22.159,22.164,22.203,22.153,22.225,22.164,22.175,22.28,22.274,22.208,22.241,22.175,22.148,22.131,22.28,22.236,22.219,22.225,22.203,22.225,22.164,22.214,22.153,22.214,22.125,22.153,22.125,22.059,22.098,22.076,22.092,22.131,22.236,22.208,22.17,22.065,22.214,22.208,22.192,22.159,22.203,22.076,22.136,22.175,22.142,22.015,22.12,22.081,22.087,22.026,22.136,22.131,22.225,22.252,22.136,22.208,22.131,22.092,22.175,22.092,22.087,22.142,22.142,22.17,22.065,22.059,22.087,22.153,22.219,22.109,22.136,22.23,22.076,22.225,22.07,22.208,22.208,22.164,22.098,22.098,22.136,22.164,22.103,22.021,22.07,22.148,22.01,22.098,22.263,22.07,22.076,22.12,22.092,22.148,22.225,22.186,22.153,22.065
,22.01,21.988,21.966,21.949,21.988,22.015,22.037,21.949,21.888,22.026,22.081,21.993,21.971,22.037,22.004,21.899,21.944,22.043,22.059,22.043,21.894,22.081,22.087,22.092,22.103,22.054,22.092,22.07,22.015,22.081,22.159,22.214,22.065,22.192,22.148,22.114,22.214,22.17,22.241,22.125,22.098,22.098,22.07,22.23,22.28,22.081,22.136,22.098,22.109,22.142,22.114,22.098,22.197,22.225,22.181,22.175,22.142,22.17,22.186,22.164,22.114,22.076,22.125,22.197,22.109,22.015,22.109,22.181,22.192,22.12,22.076,22.17,22.219,22.252,22.274,22.241,22.192,22.263,22.329,22.203,22.351,22.401,22.247,22.186,22.219,22.17,22.219,22.274,22.219,22.175,22.203,22.208,22.164,22.142,22.153,22.103,22.159,22.087,22.098,22.12,21.993,21.999,22.103,22.148,22.059,22.059,22.026,22.07,21.982,22.059,22.021,22.114,22.01,21.977,21.944,21.944,21.999,21.955,21.955,21.932,21.988,21.982,21.938,22.032,22.015,22.032,21.921,21.993,21.971,22.07,21.955,22.103,22.065,22.087,22.103,22.092,22.098,22.125,22.142,22.175,22.219,22.092,22.092,22.142,22.274,22.186,22.274,22.241,22.313,22.285,22.142,22.219,22.131,22.12,22.263,22.214,22.241,22.241,22.131,22.247,22.175,22.153,22.153,22.081,22.131,22.175,22.142,22.219,22.247,22.263,22.247,22.247,22.307,22.219,22.296,22.219,22.219,22.197,22.192,22.203,22.291,22.203,22.208,22.219,22.274,22.203,22.192,22.219,22.368,22.192,22.159,22.12,22.181,22.076,22.181,22.159,22.296,22.026,22.159,22.164,22.004,22.197,22.181,22.203,22.131,22.048,22.131,22.142,22.081,22.17,22.125,22.159,22.153,22.12,22.192,22.142,22.269,22.236,22.313,22.307,22.23,22.225,22.081,22.148,22.285,22.225,22.23,22.208,22.203,22.208,22.114,22.247,22.23,22.164,22.136,22.131,22.203,22.136,22.037,22.263,22.17,22.164,22.175,22.225,22.12,22.252,22.153,22.136,22.153,22.164,22.148,22.131,22.214,22.131,22.148,22.285,22.241,22.153,22.142,22.192,22.092,22.136,22.092,22.181,22.092,22.048,22.109,22.164,22.192,22.17,22.219,22.164,22.12,22.131,22.241,22.17,22.098,22.142,22.125,22.065,22.098,22.114,21.894,22.148,22.054,22.01,22.12,22.098,22.103,22.142,22.07,22.114,22.148,22.153,22.092,22.175,22.252,22.164,22.059,22.131,22.153,22.175,22.296,22.153,22.087,22.048,22.059,22.004,21.999,21.932,22.01,22.114,22.07,22.092,22.103,22.12,22.103,22.159,22.103,22.092
